-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.082ms        35.38%       1.082ms      13.524us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     986.654us        32.26%     986.654us      12.333us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     574.427us        18.78%     574.427us       7.180us            80  
                                            aten::copy_         2.69%     148.298us         7.41%     408.453us      10.211us     167.517us         5.48%     167.517us       4.188us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     167.517us         5.48%     167.517us       4.188us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     155.552us         5.09%     155.552us       7.778us            20  
                                              aten::all         4.72%     260.402us        39.97%       2.203ms     110.157us      66.687us         2.18%      69.631us       3.482us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      66.687us         2.18%      66.687us       3.334us            20  
                              aten::_local_scalar_dense         1.36%      75.196us        42.60%       2.349ms     117.432us      25.470us         0.83%      25.470us       1.274us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.470us         0.83%      25.470us       1.274us            20  
                                        cudaGraphLaunch         5.44%     299.987us         5.44%     299.987us      14.999us       5.472us         0.18%       5.472us       0.274us            20  
                                Activity Buffer Request        31.51%       1.737ms        31.51%       1.737ms       1.737ms       2.944us         0.10%       2.944us       2.944us             1  
                                       aten::as_strided         0.25%      13.956us         0.25%      13.956us       0.698us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.48%     191.833us         3.48%     191.833us       9.592us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.31%      16.903us        43.36%       2.390ms     119.502us       0.000us         0.00%      25.470us       1.274us            20  
                                             aten::item         0.44%      24.497us        43.05%       2.373ms     118.657us       0.000us         0.00%      25.470us       1.274us            20  
                                        cudaMemcpyAsync         7.28%     401.531us         7.28%     401.531us       6.692us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        38.68%       2.132ms        38.68%       2.132ms     106.604us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.66%      36.239us         5.35%     294.678us      14.734us       0.000us         0.00%      63.550us       3.178us            20  
                                    aten::empty_strided         1.42%      78.359us         1.42%      78.359us       3.918us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.75%      96.413us         1.75%      96.413us      48.206us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.513ms
Self CUDA time total: 3.058ms
