-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
norm_qkv_kernel(float const*, __half const*, __half ...         0.00%       0.000us         0.00%       0.000us       0.000us      19.890ms        74.10%      19.890ms     248.623us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.737ms        13.92%       3.737ms      46.717us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.917ms         7.14%       1.917ms      23.964us            80  
                                            aten::copy_         0.63%     180.452us         1.72%     494.465us      12.362us     794.533us         2.96%     794.533us      19.863us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     794.533us         2.96%     794.533us      19.863us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     385.887us         1.44%     385.887us      19.294us            20  
                                              aten::all         0.89%     256.567us         6.98%       2.003ms     100.170us      92.703us         0.35%      96.703us       4.835us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.703us         0.35%      92.703us       4.635us            20  
                              aten::_local_scalar_dense         0.31%      89.598us        85.13%      24.447ms       1.222ms      23.872us         0.09%      23.872us       1.194us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.872us         0.09%      23.872us       1.194us            20  
                                Activity Buffer Request         5.56%       1.597ms         5.56%       1.597ms       1.597ms       4.000us         0.01%       4.000us       4.000us             1  
                                       aten::as_strided         0.05%      15.337us         0.05%      15.337us       0.767us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.47%     134.337us         0.47%     134.337us       6.717us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.08%      23.176us        85.33%      24.504ms       1.225ms       0.000us         0.00%      23.872us       1.194us            20  
                                             aten::item         0.12%      34.032us        85.25%      24.481ms       1.224ms       0.000us         0.00%      23.872us       1.194us            20  
                                        cudaMemcpyAsync         1.47%     422.158us         1.47%     422.158us       7.036us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        84.44%      24.249ms        84.44%      24.249ms       1.212ms       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.06%     305.045us         1.06%     305.045us      15.252us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.20%      58.521us         1.25%     359.901us      17.995us       0.000us         0.00%     367.716us      18.386us            20  
                                    aten::empty_strided         0.31%      87.966us         0.31%      87.966us       4.398us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.40%       1.265ms         4.40%       1.265ms     632.361us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 28.718ms
Self CUDA time total: 26.841ms
