-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void nq_kernel<128, 4>(float const*, __half const*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       7.888ms        52.95%       7.888ms      98.596us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.874ms        26.00%       3.874ms      48.422us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.847ms        12.40%       1.847ms      23.088us            80  
                                            aten::copy_         0.87%     146.151us         2.43%     410.292us      10.257us     795.874us         5.34%     795.874us      19.897us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     795.874us         5.34%     795.874us      19.897us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     378.429us         2.54%     378.429us      18.921us            20  
                                              aten::all         1.43%     240.423us        10.95%       1.847ms      92.359us      91.648us         0.62%      95.648us       4.782us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      91.648us         0.62%      91.648us       4.582us            20  
                              aten::_local_scalar_dense         0.47%      80.117us        78.16%      13.185ms     659.253us      22.815us         0.15%      22.815us       1.141us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.815us         0.15%      22.815us       1.141us            20  
                                Activity Buffer Request         8.68%       1.463ms         8.68%       1.463ms       1.463ms       4.000us         0.03%       4.000us       4.000us             1  
                                       aten::as_strided         0.08%      13.426us         0.08%      13.426us       0.671us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.77%     129.846us         0.77%     129.846us       6.492us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.09%      15.341us        78.42%      13.230ms     661.496us       0.000us         0.00%      22.815us       1.141us            20  
                                             aten::item         0.17%      29.504us        78.33%      13.215ms     660.729us       0.000us         0.00%      22.815us       1.141us            20  
                                        cudaMemcpyAsync         2.16%     364.629us         2.16%     364.629us       6.077us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        77.09%      13.004ms        77.09%      13.004ms     650.223us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         3.41%     575.397us         3.41%     575.397us      28.770us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.25%      42.955us         1.84%     310.416us      15.521us       0.000us         0.00%     369.474us      18.474us            20  
                                    aten::empty_strided         0.49%      82.594us         0.49%      82.594us       4.130us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.04%     681.349us         4.04%     681.349us     340.675us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.870ms
Self CUDA time total: 14.897ms
