-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      12.612ms        70.00%      12.612ms     157.653us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.075ms        22.62%       4.075ms      50.933us            80  
                                            aten::copy_         0.70%     143.298us         2.00%     408.234us      10.206us     799.580us         4.44%     799.580us      19.989us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     799.580us         4.44%     799.580us      19.989us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     413.663us         2.30%     413.663us      20.683us            20  
                                              aten::all         1.30%     265.581us        12.66%       2.588ms     129.376us      90.909us         0.50%      95.005us       4.750us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.909us         0.50%      90.909us       4.545us            20  
                              aten::_local_scalar_dense         0.40%      81.409us        77.30%      15.805ms     790.262us      25.247us         0.14%      25.247us       1.262us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.247us         0.14%      25.247us       1.262us            20  
                                Activity Buffer Request        10.64%       2.176ms        10.64%       2.176ms       2.176ms       4.096us         0.02%       4.096us       4.096us             1  
                                       aten::as_strided         0.07%      13.977us         0.07%      13.977us       0.699us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.65%     132.433us         0.65%     132.433us       6.622us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.07%      15.248us        77.52%      15.849ms     792.431us       0.000us         0.00%      25.247us       1.262us            20  
                                             aten::item         0.14%      28.137us        77.44%      15.833ms     791.668us       0.000us         0.00%      25.247us       1.262us            20  
                                        cudaMemcpyAsync         1.80%     367.049us         1.80%     367.049us       6.117us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        76.41%      15.622ms        76.41%      15.622ms     781.086us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.28%     260.893us         1.28%     260.893us      13.045us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         2.10%     430.105us         3.41%     696.338us      34.817us       0.000us         0.00%     364.509us      18.225us            20  
                                    aten::empty_strided         0.39%      79.540us         0.39%      79.540us       3.977us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.06%     830.420us         4.06%     830.420us     415.210us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 20.445ms
Self CUDA time total: 18.016ms
