-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
norm_qkv_kernel(float const*, __half const*, __half ...         0.00%       0.000us         0.00%       0.000us       0.000us      16.263ms        68.29%      16.263ms     203.287us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       4.166ms        17.49%       4.166ms      52.074us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.054ms         8.62%       2.054ms      25.675us            80  
                                            aten::copy_         0.62%     164.710us         1.80%     476.179us      11.904us     803.454us         3.37%     803.454us      20.086us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     803.454us         3.37%     803.454us      20.086us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     398.910us         1.67%     398.910us      19.945us            20  
                                              aten::all         2.13%     563.745us         9.24%       2.451ms     122.570us     104.414us         0.44%     108.990us       5.449us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     104.414us         0.44%     104.414us       5.221us            20  
                              aten::_local_scalar_dense         0.37%      98.582us        82.76%      21.950ms       1.097ms      25.922us         0.11%      25.922us       1.296us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.922us         0.11%      25.922us       1.296us            20  
                                Activity Buffer Request         6.52%       1.728ms         6.52%       1.728ms       1.728ms       4.576us         0.02%       4.576us       4.576us             1  
                                       aten::as_strided         0.06%      16.062us         0.06%      16.062us       0.803us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.54%     143.540us         0.54%     143.540us       7.177us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.09%      22.925us        82.98%      22.007ms       1.100ms       0.000us         0.00%      25.922us       1.296us            20  
                                             aten::item         0.13%      34.135us        82.89%      21.984ms       1.099ms       0.000us         0.00%      25.922us       1.296us            20  
                                        cudaMemcpyAsync         1.60%     424.764us         1.60%     424.764us       7.079us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        81.96%      21.738ms        81.96%      21.738ms       1.087ms       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.27%     336.477us         1.27%     336.477us      16.824us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.20%      54.061us         1.30%     343.548us      17.177us       0.000us         0.00%     373.215us      18.661us            20  
                                    aten::empty_strided         0.33%      88.327us         0.33%      88.327us       4.416us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.18%       1.108ms         4.18%       1.108ms     553.847us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.521ms
Self CUDA time total: 23.816ms
