-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       6.550ms        34.90%       6.550ms      81.875us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       6.525ms        34.76%       6.525ms      81.560us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       3.798ms        20.23%       3.798ms      47.473us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     900.062us         4.80%     900.062us      45.003us            20  
                                            aten::copy_         0.54%     111.561us         1.37%     281.152us      14.058us     854.687us         4.55%     854.687us      42.734us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     854.687us         4.55%     854.687us      42.734us            20  
                                              aten::all         1.36%     279.574us         9.70%       1.990ms      99.505us     117.826us         0.63%     123.074us       6.154us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     117.826us         0.63%     117.826us       5.891us            20  
                              aten::_local_scalar_dense         0.43%      88.721us        82.80%      16.996ms     849.794us      23.966us         0.13%      23.966us       1.198us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.966us         0.13%      23.966us       1.198us            20  
                                        cudaGraphLaunch         1.49%     305.329us         1.49%     305.329us      15.266us      12.032us         0.06%      12.032us       0.602us            20  
                                Activity Buffer Request         7.53%       1.546ms         7.53%       1.546ms       1.546ms       5.248us         0.03%       5.248us       5.248us             1  
                                       aten::as_strided         0.08%      16.029us         0.08%      16.029us       0.801us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.72%     148.127us         0.72%     148.127us       7.406us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.09%      17.453us        83.01%      17.039ms     851.940us       0.000us         0.00%      23.966us       1.198us            20  
                                             aten::item         0.12%      25.472us        82.92%      17.021ms     851.067us       0.000us         0.00%      23.966us       1.198us            20  
                                        cudaMemcpyAsync         1.44%     295.947us         1.44%     295.947us       7.399us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        81.75%      16.781ms        81.75%      16.781ms     839.040us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.44%     911.153us         4.44%     911.153us     455.576us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 20.527ms
Self CUDA time total: 18.769ms
