-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       6.554ms        33.40%       6.554ms      81.928us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       6.513ms        33.19%       6.513ms      81.416us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       3.810ms        19.41%       3.810ms      47.625us            80  
                                            aten::copy_         0.76%     160.823us         2.11%     447.699us      11.192us       1.726ms         8.79%       1.726ms      43.147us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.726ms         8.79%       1.726ms      43.147us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     880.319us         4.49%     880.319us      44.016us            20  
                                              aten::all         1.22%     259.195us         8.97%       1.904ms      95.197us     116.257us         0.59%     121.601us       6.080us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     116.257us         0.59%     116.257us       5.813us            20  
                              aten::_local_scalar_dense         0.38%      81.662us        82.40%      17.498ms     874.921us      24.511us         0.12%      24.511us       1.226us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.511us         0.12%      24.511us       1.226us            20  
                                Activity Buffer Request         7.02%       1.491ms         7.02%       1.491ms       1.491ms       5.344us         0.03%       5.344us       5.344us             1  
                                       aten::as_strided         0.07%      14.247us         0.07%      14.247us       0.712us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.66%     139.492us         0.66%     139.492us       6.975us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.08%      16.544us        82.61%      17.542ms     877.110us       0.000us         0.00%      24.511us       1.226us            20  
                                             aten::item         0.13%      27.231us        82.53%      17.526ms     876.283us       0.000us         0.00%      24.511us       1.226us            20  
                                        cudaMemcpyAsync         1.84%     391.203us         1.84%     391.203us       6.520us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        81.53%      17.312ms        81.53%      17.312ms     865.622us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.46%     309.404us         1.46%     309.404us      15.470us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.19%      39.374us         1.44%     305.968us      15.298us       0.000us         0.00%     868.641us      43.432us            20  
                                    aten::empty_strided         0.39%      82.845us         0.39%      82.845us       4.142us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.28%     909.270us         4.28%     909.270us     454.635us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.235ms
Self CUDA time total: 19.625ms
