-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      49.513ms        48.81%      49.513ms     618.908us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      23.582ms        23.25%      23.582ms     294.775us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      21.240ms        20.94%      21.240ms     265.501us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.427ms         3.38%       3.427ms     171.326us            20  
                                            aten::copy_         0.12%     118.989us         0.28%     289.850us      14.492us       3.370ms         3.32%       3.370ms     168.513us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.370ms         3.32%       3.370ms     168.513us            20  
                                              aten::all         0.28%     287.938us         1.98%       2.040ms     102.004us     278.112us         0.27%     290.848us      14.542us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     278.112us         0.27%     278.112us      13.906us            20  
                                        cudaGraphLaunch         0.32%     326.719us         0.32%     326.719us      16.336us      27.840us         0.03%      27.840us       1.392us            20  
                              aten::_local_scalar_dense         0.13%     132.989us        92.42%      95.464ms       4.773ms      25.375us         0.03%      25.375us       1.269us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.375us         0.03%      25.375us       1.269us            20  
                                Activity Buffer Request         1.54%       1.587ms         1.54%       1.587ms       1.587ms      12.736us         0.01%      12.736us      12.736us             1  
                                       aten::as_strided         0.02%      16.222us         0.02%      16.222us       0.811us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.14%     148.487us         0.14%     148.487us       7.424us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      19.499us        92.47%      95.511ms       4.776ms       0.000us         0.00%      25.375us       1.269us            20  
                                             aten::item         0.03%      27.736us        92.45%      95.492ms       4.775ms       0.000us         0.00%      25.375us       1.269us            20  
                                        cudaMemcpyAsync         0.29%     302.429us         0.29%     302.429us       7.561us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        92.17%      95.199ms        92.17%      95.199ms       4.760ms       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.96%       5.122ms         4.96%       5.122ms       2.561ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 103.290ms
Self CUDA time total: 101.435ms
