-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.878ms        36.26%       3.878ms      48.473us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.874ms        36.23%       3.874ms      48.428us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.000ms        18.70%       2.000ms      24.996us            80  
                                            aten::copy_         0.80%     100.110us         1.99%     250.786us      12.539us     434.816us         4.07%     434.816us      21.741us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     434.816us         4.07%     434.816us      21.741us            20  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     392.320us         3.67%     392.320us      19.616us            20  
                                              aten::all         2.13%     268.633us        15.65%       1.969ms      98.444us      91.456us         0.86%      95.232us       4.762us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      91.456us         0.86%      91.456us       4.573us            20  
                              aten::_local_scalar_dense         0.68%      84.945us        75.65%       9.520ms     475.991us      23.104us         0.22%      23.104us       1.155us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.104us         0.22%      23.104us       1.155us            20  
                                        cudaGraphLaunch         2.60%     327.017us         2.60%     327.017us      16.351us       9.088us         0.08%       9.088us       0.454us            20  
                                Activity Buffer Request        12.27%       1.545ms        12.27%       1.545ms       1.545ms       3.776us         0.04%       3.776us       3.776us             1  
                                       aten::as_strided         0.12%      15.587us         0.12%      15.587us       0.779us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.11%     140.033us         1.11%     140.033us       7.002us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.14%      17.244us        75.96%       9.560ms     477.977us       0.000us         0.00%      23.104us       1.155us            20  
                                             aten::item         0.18%      22.481us        75.83%       9.542ms     477.115us       0.000us         0.00%      23.104us       1.155us            20  
                                        cudaMemcpyAsync         2.03%     255.220us         2.03%     255.220us       6.380us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        74.14%       9.330ms        74.14%       9.330ms     466.517us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.80%     477.954us         3.80%     477.954us     238.977us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.584ms
Self CUDA time total: 10.693ms
