-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void nq_kernel<128, 8>(float const*, __half const*, ...         0.00%       0.000us         0.00%       0.000us       0.000us      11.978ms        62.82%      11.978ms     149.729us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.870ms        20.30%       3.870ms      48.381us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.918ms        10.06%       1.918ms      23.970us            80  
                                            aten::copy_         0.70%     146.013us         1.99%     415.483us      10.387us     800.798us         4.20%     800.798us      20.020us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     800.798us         4.20%     800.798us      20.020us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     382.529us         2.01%     382.529us      19.126us            20  
                                              aten::all         1.13%     236.437us         9.48%       1.982ms      99.089us      92.544us         0.49%      96.544us       4.827us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.544us         0.49%      92.544us       4.627us            20  
                              aten::_local_scalar_dense         0.40%      83.415us        82.25%      17.191ms     859.525us      24.576us         0.13%      24.576us       1.229us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.576us         0.13%      24.576us       1.229us            20  
                                Activity Buffer Request         7.67%       1.604ms         7.67%       1.604ms       1.604ms       4.000us         0.02%       4.000us       4.000us             1  
                                       aten::as_strided         0.06%      12.686us         0.06%      12.686us       0.634us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.62%     128.592us         0.62%     128.592us       6.430us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.07%      14.173us        82.44%      17.231ms     861.544us       0.000us         0.00%      24.576us       1.229us            20  
                                             aten::item         0.13%      26.199us        82.37%      17.217ms     860.835us       0.000us         0.00%      24.576us       1.229us            20  
                                        cudaMemcpyAsync         1.77%     369.402us         1.77%     369.402us       6.157us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        81.37%      17.007ms        81.37%      17.007ms     850.358us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.37%     285.706us         1.37%     285.706us      14.285us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.17%      36.182us         1.43%     298.165us      14.908us       0.000us         0.00%     367.552us      18.378us            20  
                                    aten::empty_strided         0.37%      77.236us         0.37%      77.236us       3.862us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.18%     874.004us         4.18%     874.004us     437.002us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 20.901ms
Self CUDA time total: 19.067ms
