-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.273ms        35.07%       1.273ms      15.906us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.184ms        32.63%       1.184ms      14.797us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     694.493us        19.14%     694.493us       8.681us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     212.802us         5.87%     212.802us      10.640us            20  
                                            aten::copy_         2.53%     141.565us         7.15%     400.459us      10.011us     168.320us         4.64%     168.320us       4.208us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     168.320us         4.64%     168.320us       4.208us            40  
                                              aten::all         4.49%     251.486us        34.99%       1.960ms      98.000us      71.808us         1.98%      75.296us       3.765us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      71.808us         1.98%      71.808us       3.590us            20  
                              aten::_local_scalar_dense         1.28%      71.886us        47.71%       2.673ms     133.631us      24.543us         0.68%      24.543us       1.227us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.543us         0.68%      24.543us       1.227us            20  
                                        cudaGraphLaunch         5.21%     292.034us         5.21%     292.034us      14.602us       6.400us         0.18%       6.400us       0.320us            20  
                                Activity Buffer Request        27.92%       1.564ms        27.92%       1.564ms       1.564ms       3.488us         0.10%       3.488us       3.488us             1  
                                       aten::as_strided         0.24%      13.396us         0.24%      13.396us       0.670us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.35%     131.368us         2.35%     131.368us       6.568us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.27%      15.007us        48.36%       2.709ms     135.458us       0.000us         0.00%      24.543us       1.227us            20  
                                             aten::item         0.38%      21.529us        48.10%       2.694ms     134.708us       0.000us         0.00%      24.543us       1.227us            20  
                                        cudaMemcpyAsync         6.53%     365.647us         6.53%     365.647us       6.094us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        44.52%       2.494ms        44.52%       2.494ms     124.699us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.65%      36.666us         5.20%     291.553us      14.578us       0.000us         0.00%      62.784us       3.139us            20  
                                    aten::empty_strided         1.34%      75.113us         1.34%      75.113us       3.756us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.29%     128.113us         2.29%     128.113us      64.056us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.602ms
Self CUDA time total: 3.628ms
