-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     621.497us        45.08%     621.497us       7.769us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     399.107us        28.95%     399.107us       4.989us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     247.643us        17.96%     247.643us       3.096us            80  
                                              aten::all         7.51%     279.231us        61.80%       2.299ms     114.961us      50.785us         3.68%      53.697us       2.685us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      50.785us         3.68%      50.785us       2.539us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      39.138us         2.84%      39.138us       1.957us            20  
                              aten::_local_scalar_dense         1.87%      69.658us        28.90%       1.075ms      53.763us      20.479us         1.49%      20.479us       1.024us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      20.479us         1.49%      20.479us       1.024us            20  
                                        cudaGraphLaunch         7.35%     273.489us         7.35%     273.489us      13.674us       3.456us         0.25%       3.456us       0.173us            20  
                                Activity Buffer Request        49.94%       1.858ms        49.94%       1.858ms       1.858ms       2.912us         0.21%       2.912us       2.912us             1  
                                       aten::as_strided         0.42%      15.678us         0.42%      15.678us       0.784us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.94%     146.577us         3.94%     146.577us       7.329us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.42%      15.577us        29.85%       1.111ms      55.530us       0.000us         0.00%      20.479us       1.024us            20  
                                             aten::item         0.53%      19.766us        29.43%       1.095ms      54.751us       0.000us         0.00%      20.479us       1.024us            20  
                                        cudaMemcpyAsync         3.11%     115.817us         3.11%     115.817us       5.791us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaStreamSynchronize        23.92%     889.783us        23.92%     889.783us      44.489us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.99%      36.870us         0.99%      36.870us      18.435us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.720ms
Self CUDA time total: 1.379ms
