-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.946ms        36.89%       3.946ms      49.329us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.872ms        36.20%       3.872ms      48.405us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.964ms        18.36%       1.964ms      24.550us            80  
                                            aten::copy_         0.83%     106.020us         2.03%     257.799us      12.890us     428.801us         4.01%     428.801us      21.440us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     428.801us         4.01%     428.801us      21.440us            20  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     373.920us         3.50%     373.920us      18.696us            20  
                                              aten::all         2.21%     280.644us        16.76%       2.132ms     106.606us      90.624us         0.85%      94.720us       4.736us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.624us         0.85%      90.624us       4.531us            20  
                              aten::_local_scalar_dense         0.64%      80.931us        74.54%       9.482ms     474.079us      22.561us         0.21%      22.561us       1.128us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.561us         0.21%      22.561us       1.128us            20  
                                        cudaGraphLaunch         2.58%     328.241us         2.58%     328.241us      16.412us       9.024us         0.08%       9.024us       0.451us            20  
                                Activity Buffer Request        13.36%       1.700ms        13.36%       1.700ms       1.700ms       4.096us         0.04%       4.096us       4.096us             1  
                                       aten::as_strided         0.12%      15.066us         0.12%      15.066us       0.753us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.07%     136.639us         1.07%     136.639us       6.832us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.14%      17.255us        74.85%       9.522ms     476.086us       0.000us         0.00%      22.561us       1.128us            20  
                                             aten::item         0.18%      22.885us        74.72%       9.504ms     475.223us       0.000us         0.00%      22.561us       1.128us            20  
                                        cudaMemcpyAsync         2.15%     273.551us         2.15%     273.551us       6.839us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        72.94%       9.279ms        72.94%       9.279ms     463.943us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.78%     480.719us         3.78%     480.719us     240.359us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.721ms
Self CUDA time total: 10.699ms
