-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.076ms        38.40%       1.076ms      13.448us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     985.539us        35.17%     985.539us      12.319us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     338.590us        12.08%     338.590us       4.232us            80  
                                            aten::copy_         2.96%     142.581us         8.20%     395.358us       9.884us     159.424us         5.69%     159.424us       3.986us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     159.424us         5.69%     159.424us       3.986us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     157.187us         5.61%     157.187us       7.859us            20  
                                              aten::all         6.22%     299.709us        41.58%       2.005ms     100.235us      63.106us         2.25%      66.114us       3.306us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      63.106us         2.25%      63.106us       3.155us            20  
                              aten::_local_scalar_dense         1.57%      75.683us        39.09%       1.884ms      94.220us      22.272us         0.79%      22.272us       1.114us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.272us         0.79%      22.272us       1.114us            20  
                                        cudaGraphLaunch         6.22%     300.048us         6.22%     300.048us      15.002us       6.496us         0.23%       6.496us       0.325us            20  
                                Activity Buffer Request        32.27%       1.556ms        32.27%       1.556ms       1.556ms       3.008us         0.11%       3.008us       3.008us             1  
                                       aten::as_strided         0.31%      14.797us         0.31%      14.797us       0.740us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.79%     134.494us         2.79%     134.494us       6.725us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.32%      15.377us        39.88%       1.922ms      96.122us       0.000us         0.00%      22.272us       1.114us            20  
                                             aten::item         0.47%      22.659us        39.56%       1.907ms      95.353us       0.000us         0.00%      22.272us       1.114us            20  
                                        cudaMemcpyAsync         7.32%     352.787us         7.32%     352.787us       5.880us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        35.44%       1.709ms        35.44%       1.709ms      85.436us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.78%      37.573us         6.01%     289.829us      14.491us       0.000us         0.00%      54.208us       2.710us            20  
                                    aten::empty_strided         1.56%      75.172us         1.56%      75.172us       3.759us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.78%      85.683us         1.78%      85.683us      42.842us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.821ms
Self CUDA time total: 2.802ms
