-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.001ms        38.61%       4.001ms      50.008us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.463ms        33.43%       3.463ms      43.291us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.978ms        19.09%       1.978ms      24.722us            80  
                                            aten::copy_         0.74%      91.594us         1.92%     238.111us      11.906us     432.030us         4.17%     432.030us      21.601us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     432.030us         4.17%     432.030us      21.601us            20  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     371.360us         3.58%     371.360us      18.568us            20  
                                              aten::all         2.05%     254.992us        18.33%       2.279ms     113.965us      93.023us         0.90%      97.151us       4.858us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      93.023us         0.90%      93.023us       4.651us            20  
                              aten::_local_scalar_dense         0.57%      70.848us        73.46%       9.134ms     456.694us      23.072us         0.22%      23.072us       1.154us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.072us         0.22%      23.072us       1.154us            20  
                                        cudaGraphLaunch         2.33%     289.295us         2.33%     289.295us      14.465us       9.344us         0.09%       9.344us       0.467us            20  
                                Activity Buffer Request        14.78%       1.838ms        14.78%       1.838ms       1.838ms       4.128us         0.04%       4.128us       4.128us             1  
                                       aten::as_strided         0.11%      13.906us         0.11%      13.906us       0.695us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.39%     172.426us         1.39%     172.426us       8.621us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      14.217us        73.72%       9.166ms     458.294us       0.000us         0.00%      23.072us       1.154us            20  
                                             aten::item         0.14%      17.784us        73.61%       9.152ms     457.583us       0.000us         0.00%      23.072us       1.154us            20  
                                        cudaMemcpyAsync         1.99%     247.586us         1.99%     247.586us       6.190us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        72.08%       8.962ms        72.08%       8.962ms     448.098us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.71%     460.681us         3.71%     460.681us     230.340us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.433ms
Self CUDA time total: 10.361ms
