-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      45.745ms        47.16%      45.745ms     571.813us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      23.059ms        23.77%      23.059ms     288.237us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      21.057ms        21.71%      21.057ms     263.211us            80  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.504ms         3.61%       3.504ms     175.208us            20  
                                            aten::copy_         0.11%     104.083us         0.27%     265.669us      13.283us       3.329ms         3.43%       3.329ms     166.472us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.329ms         3.43%       3.329ms     166.472us            20  
                                              aten::all         0.26%     258.620us         2.09%       2.073ms     103.657us     279.262us         0.29%     292.446us      14.622us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     279.262us         0.29%     279.262us      13.963us            20  
                                        cudaGraphLaunch         0.30%     297.560us         0.30%     297.560us      14.878us      28.031us         0.03%      28.031us       1.402us            20  
                              aten::_local_scalar_dense         0.08%      82.567us        92.38%      91.564ms       4.578ms      25.181us         0.03%      25.181us       1.259us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.181us         0.03%      25.181us       1.259us            20  
                                Activity Buffer Request         1.68%       1.662ms         1.68%       1.662ms       1.662ms      13.184us         0.01%      13.184us      13.184us             1  
                                       aten::as_strided         0.02%      16.108us         0.02%      16.108us       0.805us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.14%     136.449us         0.14%     136.449us       6.822us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      17.362us        92.42%      91.607ms       4.580ms       0.000us         0.00%      25.181us       1.259us            20  
                                             aten::item         0.03%      25.549us        92.41%      91.590ms       4.579ms       0.000us         0.00%      25.181us       1.259us            20  
                                        cudaMemcpyAsync         0.28%     272.997us         0.28%     272.997us       6.825us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        92.18%      91.370ms        92.18%      91.370ms       4.569ms       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.92%       4.874ms         4.92%       4.874ms       2.437ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 99.118ms
Self CUDA time total: 96.999ms
