-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.958ms        35.85%       3.958ms      49.471us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.758ms        34.05%       3.758ms      46.980us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.032ms        18.41%       2.032ms      25.402us            80  
                                            aten::copy_         1.23%     155.762us         3.44%     435.080us      10.877us     795.936us         7.21%     795.936us      19.898us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     795.936us         7.21%     795.936us      19.898us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     379.487us         3.44%     379.487us      18.974us            20  
                                              aten::all         2.03%     256.054us        14.89%       1.881ms      94.039us      92.351us         0.84%      96.287us       4.814us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.351us         0.84%      92.351us       4.618us            20  
                              aten::_local_scalar_dense         0.62%      78.198us        74.19%       9.370ms     468.513us      23.262us         0.21%      23.262us       1.163us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.262us         0.21%      23.262us       1.163us            20  
                                Activity Buffer Request        11.68%       1.475ms        11.68%       1.475ms       1.475ms       3.936us         0.04%       3.936us       3.936us             1  
                                       aten::as_strided         0.11%      13.925us         0.11%      13.925us       0.696us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.07%     135.357us         1.07%     135.357us       6.768us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.12%      15.067us        74.52%       9.412ms     470.595us       0.000us         0.00%      23.262us       1.163us            20  
                                             aten::item         0.21%      26.583us        74.40%       9.397ms     469.842us       0.000us         0.00%      23.262us       1.163us            20  
                                        cudaMemcpyAsync         3.03%     383.024us         3.03%     383.024us       6.384us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        72.75%       9.188ms        72.75%       9.188ms     459.417us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.43%     306.279us         2.43%     306.279us      15.314us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.31%      39.311us         2.46%     310.294us      15.515us       0.000us         0.00%     361.951us      18.098us            20  
                                    aten::empty_strided         0.63%      79.871us         0.63%      79.871us       3.994us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.77%     476.191us         3.77%     476.191us     238.096us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.629ms
Self CUDA time total: 11.039ms
