-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.077ms        36.04%       1.077ms      13.457us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     984.455us        32.96%     984.455us      12.306us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     565.470us        18.93%     565.470us       7.068us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     155.329us         5.20%     155.329us       7.766us            20  
                                            aten::copy_         1.87%      97.932us         4.51%     236.325us      11.816us     112.131us         3.75%     112.131us       5.607us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     112.131us         3.75%     112.131us       5.607us            20  
                                              aten::all         5.32%     279.184us        36.57%       1.917ms      95.866us      70.848us         2.37%      73.760us       3.688us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      70.848us         2.37%      70.848us       3.542us            20  
                              aten::_local_scalar_dense         1.49%      78.144us        50.30%       2.637ms     131.862us      21.984us         0.74%      21.984us       1.099us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.984us         0.74%      21.984us       1.099us            20  
                                        cudaGraphLaunch         5.82%     305.375us         5.82%     305.375us      15.269us       4.929us         0.17%       4.929us       0.246us            20  
                                Activity Buffer Request        28.33%       1.486ms        28.33%       1.486ms       1.486ms       2.912us         0.10%       2.912us       2.912us             1  
                                       aten::as_strided         0.28%      14.719us         0.28%      14.719us       0.736us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.63%     137.854us         2.63%     137.854us       6.893us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.30%      15.899us        50.99%       2.673ms     133.666us       0.000us         0.00%      21.984us       1.099us            20  
                                             aten::item         0.38%      20.175us        50.68%       2.657ms     132.871us       0.000us         0.00%      21.984us       1.099us            20  
                                        cudaMemcpyAsync         4.91%     257.407us         4.91%     257.407us       6.435us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        46.54%       2.440ms        46.54%       2.440ms     122.004us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.11%     110.699us         2.11%     110.699us      55.349us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.243ms
Self CUDA time total: 2.987ms
