-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.960ms        34.58%       3.960ms      49.495us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.715ms        32.45%       3.715ms      46.440us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.486ms        21.71%       2.486ms      31.076us            80  
                                            aten::copy_         1.19%     158.860us         3.53%     469.106us      11.728us     792.860us         6.92%     792.860us      19.821us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     792.860us         6.92%     792.860us      19.821us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     380.383us         3.32%     380.383us      19.019us            20  
                                              aten::all         1.97%     261.646us        15.47%       2.057ms     102.867us      92.800us         0.81%      96.896us       4.845us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.800us         0.81%      92.800us       4.640us            20  
                              aten::_local_scalar_dense         0.66%      87.303us        73.66%       9.794ms     489.711us      23.104us         0.20%      23.104us       1.155us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.104us         0.20%      23.104us       1.155us            20  
                                Activity Buffer Request        12.35%       1.642ms        12.35%       1.642ms       1.642ms       4.096us         0.04%       4.096us       4.096us             1  
                                       aten::as_strided         0.11%      14.548us         0.11%      14.548us       0.727us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.05%     139.313us         1.05%     139.313us       6.966us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.15%      19.936us        74.05%       9.847ms     492.363us       0.000us         0.00%      23.104us       1.155us            20  
                                             aten::item         0.25%      33.104us        73.90%       9.827ms     491.366us       0.000us         0.00%      23.104us       1.155us            20  
                                        cudaMemcpyAsync         3.13%     416.144us         3.13%     416.144us       6.936us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        72.20%       9.601ms        72.20%       9.601ms     480.050us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.32%     308.062us         2.32%     308.062us      15.403us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.30%      39.602us         2.36%     313.182us      15.659us       0.000us         0.00%     365.214us      18.261us            20  
                                    aten::empty_strided         0.61%      81.538us         0.61%      81.538us       4.077us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.72%     494.506us         3.72%     494.506us     247.253us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.297ms
Self CUDA time total: 11.450ms
