-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.062ms        39.02%       1.062ms      13.272us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     991.907us        36.45%     991.907us      12.399us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     313.219us        11.51%     313.219us       3.915us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     153.534us         5.64%     153.534us       7.677us            20  
                                            aten::copy_         2.62%     127.150us         5.71%     277.366us      13.868us     105.950us         3.89%     105.950us       5.298us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     105.950us         3.89%     105.950us       5.298us            20  
                                              aten::all         5.68%     275.719us        42.44%       2.062ms     103.084us      72.323us         2.66%      75.363us       3.768us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.323us         2.66%      72.323us       3.616us            20  
                              aten::_local_scalar_dense         1.58%      76.694us        42.89%       2.083ms     104.172us      22.496us         0.83%      22.496us       1.125us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.496us         0.83%      22.496us       1.125us            20  
                                        cudaGraphLaunch         6.23%     302.380us         6.23%     302.380us      15.119us       5.344us         0.20%       5.344us       0.267us            20  
                                Activity Buffer Request        33.67%       1.635ms        33.67%       1.635ms       1.635ms       3.040us         0.11%       3.040us       3.040us             1  
                                       aten::as_strided         0.30%      14.479us         0.30%      14.479us       0.724us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.80%     136.179us         2.80%     136.179us       6.809us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.35%      17.223us        43.66%       2.121ms     106.028us       0.000us         0.00%      22.496us       1.125us            20  
                                             aten::item         0.41%      19.896us        43.30%       2.103ms     105.166us       0.000us         0.00%      22.496us       1.125us            20  
                                        cudaMemcpyAsync         5.63%     273.400us         5.63%     273.400us       6.835us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        38.78%       1.884ms        38.78%       1.884ms      94.178us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.96%      95.341us         1.96%      95.341us      47.670us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.857ms
Self CUDA time total: 2.721ms
