-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      50.612ms        49.24%      50.612ms     632.656us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      23.632ms        22.99%      23.632ms     295.395us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      21.409ms        20.83%      21.409ms     267.618us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.462ms         3.37%       3.462ms     173.083us            20  
                                            aten::copy_         0.11%     114.639us         0.28%     297.484us      14.874us       3.373ms         3.28%       3.373ms     168.651us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.373ms         3.28%       3.373ms     168.651us            20  
                                              aten::all         0.26%     275.641us         1.95%       2.047ms     102.337us     280.255us         0.27%     293.119us      14.656us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     280.255us         0.27%     280.255us      14.013us            20  
                                        cudaGraphLaunch         0.30%     320.155us         0.30%     320.155us      16.008us      28.385us         0.03%      28.385us       1.419us            20  
                              aten::_local_scalar_dense         0.09%      92.151us        92.54%      97.235ms       4.862ms      25.823us         0.03%      25.823us       1.291us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.823us         0.03%      25.823us       1.291us            20  
                                Activity Buffer Request         1.53%       1.607ms         1.53%       1.607ms       1.607ms      12.864us         0.01%      12.864us      12.864us             1  
                                       aten::as_strided         0.02%      16.230us         0.02%      16.230us       0.812us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.14%     147.409us         0.14%     147.409us       7.370us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      18.447us        92.59%      97.279ms       4.864ms       0.000us         0.00%      25.823us       1.291us            20  
                                             aten::item         0.02%      25.008us        92.57%      97.260ms       4.863ms       0.000us         0.00%      25.823us       1.291us            20  
                                        cudaMemcpyAsync         0.30%     312.903us         0.30%     312.903us       7.823us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        92.33%      97.013ms        92.33%      97.013ms       4.851ms       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.88%       5.126ms         4.88%       5.126ms       2.563ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 105.069ms
Self CUDA time total: 102.794ms
