-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.973ms        37.06%       3.973ms      49.658us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.778ms        35.25%       3.778ms      47.228us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.033ms        18.96%       2.033ms      25.409us            80  
                                            aten::copy_         0.90%     111.583us         2.20%     273.007us      13.650us     435.932us         4.07%     435.932us      21.797us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     435.932us         4.07%     435.932us      21.797us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     384.510us         3.59%     384.510us      19.225us            20  
                                              aten::all         2.22%     275.563us        15.44%       1.917ms      95.835us      91.743us         0.86%      95.807us       4.790us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      91.743us         0.86%      91.743us       4.587us            20  
                              aten::_local_scalar_dense         0.65%      80.223us        75.57%       9.382ms     469.104us      23.550us         0.22%      23.550us       1.177us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.550us         0.22%      23.550us       1.177us            20  
                                        cudaGraphLaunch         2.51%     311.631us         2.51%     311.631us      15.582us       9.280us         0.09%       9.280us       0.464us            20  
                                Activity Buffer Request        11.95%       1.484ms        11.95%       1.484ms       1.484ms       4.064us         0.04%       4.064us       4.064us             1  
                                       aten::as_strided         0.12%      14.336us         0.12%      14.336us       0.717us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.15%     142.811us         1.15%     142.811us       7.141us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.15%      18.127us        75.91%       9.424ms     471.193us       0.000us         0.00%      23.550us       1.177us            20  
                                             aten::item         0.19%      23.654us        75.76%       9.406ms     470.287us       0.000us         0.00%      23.550us       1.177us            20  
                                        cudaMemcpyAsync         2.31%     286.810us         2.31%     286.810us       7.170us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        73.92%       9.176ms        73.92%       9.176ms     458.824us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.94%     489.585us         3.94%     489.585us     244.792us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.415ms
Self CUDA time total: 10.719ms
