-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       7.503ms        34.50%       7.503ms      93.788us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       7.370ms        33.89%       7.370ms      92.130us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       4.046ms        18.60%       4.046ms      50.575us            80  
                                            aten::copy_         0.69%     161.844us         1.93%     453.741us      11.344us       1.713ms         7.88%       1.713ms      42.825us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.713ms         7.88%       1.713ms      42.825us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     959.935us         4.41%     959.935us      47.997us            20  
                                              aten::all         1.08%     255.277us         8.78%       2.068ms     103.417us     131.136us         0.60%     137.183us       6.859us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     131.136us         0.60%     131.136us       6.557us            20  
                              aten::_local_scalar_dense         0.35%      82.076us        82.99%      19.546ms     977.312us      25.663us         0.12%      25.663us       1.283us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.663us         0.12%      25.663us       1.283us            20  
                                Activity Buffer Request         7.05%       1.660ms         7.05%       1.660ms       1.660ms       6.047us         0.03%       6.047us       6.047us             1  
                                       aten::as_strided         0.06%      15.068us         0.06%      15.068us       0.753us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.59%     137.856us         0.59%     137.856us       6.893us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.07%      16.624us        83.18%      19.591ms     979.557us       0.000us         0.00%      25.663us       1.283us            20  
                                             aten::item         0.12%      28.288us        83.11%      19.575ms     978.726us       0.000us         0.00%      25.663us       1.283us            20  
                                        cudaMemcpyAsync         1.70%     400.172us         1.70%     400.172us       6.670us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        82.19%      19.356ms        82.19%      19.356ms     967.794us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.29%     303.702us         1.29%     303.702us      15.185us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.17%      39.287us         1.32%     310.618us      15.531us       0.000us         0.00%     867.583us      43.379us            20  
                                    aten::empty_strided         0.35%      81.622us         0.35%      81.622us       4.081us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.30%       1.014ms         4.30%       1.014ms     506.834us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.552ms
Self CUDA time total: 21.749ms
