-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms        39.39%       1.283ms      16.040us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.177ms        36.12%       1.177ms      14.707us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     399.774us        12.27%     399.774us       4.997us            80  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     179.007us         5.50%     179.007us       8.950us            20  
                                            aten::copy_         1.55%      82.905us         3.83%     204.746us      10.237us     112.317us         3.45%     112.317us       5.616us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     112.317us         3.45%     112.317us       5.616us            20  
                                              aten::all         4.63%     247.761us        37.69%       2.017ms     100.834us      82.785us         2.54%      86.305us       4.315us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      82.785us         2.54%      82.785us       4.139us            20  
                              aten::_local_scalar_dense         1.22%      65.169us        50.43%       2.698ms     134.913us      23.810us         0.73%      23.810us       1.191us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.810us         0.73%      23.810us       1.191us            20  
                                        cudaGraphLaunch         5.16%     276.135us         5.16%     276.135us      13.807us       5.023us         0.15%       5.023us       0.251us            20  
                                Activity Buffer Request        30.42%       1.628ms        30.42%       1.628ms       1.628ms       3.520us         0.11%       3.520us       3.520us             1  
                                       aten::as_strided         0.26%      13.906us         0.26%      13.906us       0.695us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.38%     127.134us         2.38%     127.134us       6.357us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.25%      13.470us        50.99%       2.728ms     136.424us       0.000us         0.00%      23.810us       1.191us            20  
                                             aten::item         0.31%      16.749us        50.74%       2.715ms     135.751us       0.000us         0.00%      23.810us       1.191us            20  
                                        cudaMemcpyAsync         4.07%     217.709us         4.07%     217.709us       5.443us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        47.42%       2.537ms        47.42%       2.537ms     126.861us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.33%     124.646us         2.33%     124.646us      62.323us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.351ms
Self CUDA time total: 3.257ms
