-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      55.396ms        47.99%      55.396ms     692.452us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      26.104ms        22.61%      26.104ms     326.302us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      23.411ms        20.28%      23.411ms     292.633us            80  
                                            aten::copy_         0.15%     175.233us         0.43%     508.325us      12.708us       6.710ms         5.81%       6.710ms     167.754us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.710ms         5.81%       6.710ms     167.754us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.493ms         3.03%       3.493ms     174.646us            20  
                                              aten::all         0.23%     272.302us         1.63%       1.904ms      95.209us     298.369us         0.26%     312.737us      15.637us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     298.369us         0.26%     298.369us      14.918us            20  
                              aten::_local_scalar_dense         0.09%     103.999us        92.66%     108.493ms       5.425ms      26.721us         0.02%      26.721us       1.336us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      26.721us         0.02%      26.721us       1.336us            20  
                                Activity Buffer Request         1.25%       1.468ms         1.25%       1.468ms       1.468ms      14.368us         0.01%      14.368us      14.368us             1  
                                       aten::as_strided         0.01%      15.421us         0.01%      15.421us       0.771us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.13%     148.915us         0.13%     148.915us       7.446us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      17.852us        92.71%     108.551ms       5.428ms       0.000us         0.00%      26.721us       1.336us            20  
                                             aten::item         0.03%      40.488us        92.69%     108.533ms       5.427ms       0.000us         0.00%      26.721us       1.336us            20  
                                        cudaMemcpyAsync         0.38%     446.295us         0.38%     446.295us       7.438us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        92.47%     108.276ms        92.47%     108.276ms       5.414ms       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         0.32%     377.241us         0.32%     377.241us      18.862us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.04%      41.317us         0.28%     329.813us      16.491us       0.000us         0.00%       3.351ms     167.539us            20  
                                    aten::empty_strided         0.08%      89.739us         0.08%      89.739us       4.487us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.80%       5.617ms         4.80%       5.617ms       2.808ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 117.088ms
Self CUDA time total: 115.439ms
