-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     629.822us        40.44%     629.822us       7.873us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     388.799us        24.97%     388.799us       4.860us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     262.013us        16.82%     262.013us       3.275us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     172.607us        11.08%     172.607us       8.630us            20  
                                              aten::all         7.40%     280.914us        54.52%       2.069ms     103.443us      56.608us         3.63%      59.680us       2.984us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      56.608us         3.63%      56.608us       2.830us            20  
                                            aten::copy_         2.57%      97.677us         6.37%     241.548us      12.077us      25.728us         1.65%      25.728us       1.286us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.728us         1.65%      25.728us       1.286us            20  
                              aten::_local_scalar_dense         1.97%      74.794us        29.86%       1.133ms      56.646us      21.791us         1.40%      21.791us       1.090us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.791us         1.40%      21.791us       1.090us            20  
                                Activity Buffer Request        42.84%       1.626ms        42.84%       1.626ms       1.626ms       3.072us         0.20%       3.072us       3.072us             1  
                                        cudaGraphLaunch         7.17%     272.101us         7.17%     272.101us      13.605us       1.280us         0.08%       1.280us       0.064us            20  
                                       aten::as_strided         0.39%      14.818us         0.39%      14.818us       0.741us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.89%     147.528us         3.89%     147.528us       7.376us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.43%      16.461us        30.83%       1.170ms      58.494us       0.000us         0.00%      21.791us       1.090us            20  
                                             aten::item         0.54%      20.491us        30.40%       1.153ms      57.671us       0.000us         0.00%      21.791us       1.090us            20  
                                        cudaMemcpyAsync         6.58%     249.652us         6.58%     249.652us       6.241us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        25.10%     952.347us        25.10%     952.347us      47.617us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.11%      42.019us         1.11%      42.019us      21.009us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.794ms
Self CUDA time total: 1.557ms
