-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      49.756ms        43.39%      49.756ms     621.950us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      30.466ms        26.57%      30.466ms     380.825us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      23.662ms        20.63%      23.662ms     295.781us            80  
                                            aten::copy_         0.15%     169.456us         0.40%     469.849us      11.746us       7.048ms         6.15%       7.048ms     176.197us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.048ms         6.15%       7.048ms     176.197us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.436ms         3.00%       3.436ms     171.779us            20  
                                              aten::all         0.23%     271.863us         1.67%       1.946ms      97.286us     281.821us         0.25%     294.812us      14.741us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     281.821us         0.25%     281.821us      14.091us            20  
                              aten::_local_scalar_dense         0.08%      87.291us        92.57%     107.655ms       5.383ms      25.888us         0.02%      25.888us       1.294us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.888us         0.02%      25.888us       1.294us            20  
                                Activity Buffer Request         1.30%       1.510ms         1.30%       1.510ms       1.510ms      12.991us         0.01%      12.991us      12.991us             1  
                                       aten::as_strided         0.01%      15.189us         0.01%      15.189us       0.759us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.13%     148.190us         0.13%     148.190us       7.410us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.01%      16.257us        92.61%     107.700ms       5.385ms       0.000us         0.00%      25.888us       1.294us            20  
                                             aten::item         0.02%      28.465us        92.59%     107.684ms       5.384ms       0.000us         0.00%      25.888us       1.294us            20  
                                        cudaMemcpyAsync         0.35%     411.496us         0.35%     411.496us       6.858us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        92.40%     107.457ms        92.40%     107.457ms       5.373ms       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         0.28%     330.263us         0.28%     330.263us      16.513us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.03%      40.469us         0.28%     329.806us      16.490us       0.000us         0.00%       3.436ms     171.787us            20  
                                    aten::empty_strided         0.07%      85.682us         0.07%      85.682us       4.284us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.92%       5.724ms         4.92%       5.724ms       2.862ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 116.296ms
Self CUDA time total: 114.676ms
