-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.947ms        35.70%       3.947ms      49.335us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.839ms        34.72%       3.839ms      47.986us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.963ms        17.75%       1.963ms      24.536us            80  
                                            aten::copy_         1.17%     151.544us         3.30%     427.486us      10.687us     797.312us         7.21%     797.312us      19.933us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     797.312us         7.21%     797.312us      19.933us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     396.928us         3.59%     396.928us      19.846us            20  
                                              aten::all         2.04%     264.494us        15.86%       2.055ms     102.740us      90.306us         0.82%      94.275us       4.714us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.306us         0.82%      90.306us       4.515us            20  
                              aten::_local_scalar_dense         0.60%      78.167us        72.48%       9.393ms     469.636us      23.104us         0.21%      23.104us       1.155us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.104us         0.21%      23.104us       1.155us            20  
                                Activity Buffer Request        12.61%       1.634ms        12.61%       1.634ms       1.634ms       3.969us         0.04%       3.969us       3.969us             1  
                                       aten::as_strided         0.11%      14.870us         0.11%      14.870us       0.744us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.09%     141.581us         1.09%     141.581us       7.079us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.13%      16.269us        72.81%       9.436ms     471.787us       0.000us         0.00%      23.104us       1.155us            20  
                                             aten::item         0.21%      26.743us        72.68%       9.419ms     470.973us       0.000us         0.00%      23.104us       1.155us            20  
                                        cudaMemcpyAsync         2.96%     383.244us         2.96%     383.244us       6.387us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        71.05%       9.207ms        71.05%       9.207ms     460.363us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.36%     305.256us         2.36%     305.256us      15.263us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.30%      38.359us         2.37%     307.480us      15.374us       0.000us         0.00%     364.191us      18.210us            20  
                                    aten::empty_strided         0.62%      80.987us         0.62%      80.987us       4.049us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.76%     616.828us         4.76%     616.828us     308.414us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.959ms
Self CUDA time total: 11.056ms
