-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      49.146ms        46.47%      49.146ms     614.323us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      23.646ms        22.36%      23.646ms     295.573us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      22.353ms        21.14%      22.353ms     279.410us            80  
                                            aten::copy_         0.18%     188.715us         0.51%     550.446us      13.761us       6.750ms         6.38%       6.750ms     168.739us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.750ms         6.38%       6.750ms     168.739us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.552ms         3.36%       3.552ms     177.598us            20  
                                              aten::all         0.26%     274.987us         1.96%       2.112ms     105.607us     279.906us         0.26%     292.419us      14.621us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     279.906us         0.26%     279.906us      13.995us            20  
                              aten::_local_scalar_dense         0.11%     120.763us        92.04%      99.099ms       4.955ms      25.056us         0.02%      25.056us       1.253us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.056us         0.02%      25.056us       1.253us            20  
                                Activity Buffer Request         1.55%       1.671ms         1.55%       1.671ms       1.671ms      12.513us         0.01%      12.513us      12.513us             1  
                                       aten::as_strided         0.01%      15.136us         0.01%      15.136us       0.757us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.14%     150.816us         0.14%     150.816us       7.541us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      18.825us        92.10%      99.162ms       4.958ms       0.000us         0.00%      25.056us       1.253us            20  
                                             aten::item         0.04%      44.671us        92.08%      99.143ms       4.957ms       0.000us         0.00%      25.056us       1.253us            20  
                                        cudaMemcpyAsync         0.44%     477.128us         0.44%     477.128us       7.952us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        91.82%      98.863ms        91.82%      98.863ms       4.943ms       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         0.33%     352.036us         0.33%     352.036us      17.602us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.04%      44.106us         0.33%     354.101us      17.705us       0.000us         0.00%       3.429ms     171.466us            20  
                                    aten::empty_strided         0.09%      97.965us         0.09%      97.965us       4.898us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.97%       5.349ms         4.97%       5.349ms       2.674ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 107.668ms
Self CUDA time total: 105.751ms
