-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     722.500us        36.44%     722.500us       9.031us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     648.836us        32.72%     648.836us       8.110us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     297.604us        15.01%     297.604us       3.720us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     172.992us         8.73%     172.992us       8.650us            20  
                                            aten::copy_         3.58%     140.897us         9.89%     388.886us       9.722us      68.672us         3.46%      68.672us       1.717us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      68.672us         3.46%      68.672us       1.717us            40  
                                              aten::all         6.25%     245.829us        47.24%       1.859ms      92.930us      53.118us         2.68%      55.838us       2.792us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      53.118us         2.68%      53.118us       2.656us            20  
                              aten::_local_scalar_dense         1.80%      70.759us        29.35%       1.155ms      57.730us      18.975us         0.96%      18.975us       0.949us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      18.975us         0.96%      18.975us       0.949us            20  
                                        cudaGraphLaunch         7.27%     285.940us         7.27%     285.940us      14.297us       2.880us         0.15%       2.880us       0.144us            20  
                                Activity Buffer Request        37.40%       1.471ms        37.40%       1.471ms       1.471ms       2.720us         0.14%       2.720us       2.720us             1  
                                       aten::as_strided         0.34%      13.353us         0.34%      13.353us       0.668us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.26%     128.202us         3.26%     128.202us       6.410us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.35%      13.957us        30.33%       1.193ms      59.661us       0.000us         0.00%      18.975us       0.949us            20  
                                             aten::item         0.63%      24.667us        29.98%       1.179ms      58.963us       0.000us         0.00%      18.975us       0.949us            20  
                                        cudaMemcpyAsync         9.78%     384.940us         9.78%     384.940us       6.416us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        24.07%     946.882us        24.07%     946.882us      47.344us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.92%      36.027us         8.31%     326.787us      16.339us       0.000us         0.00%      31.039us       1.552us            20  
                                    aten::empty_strided         2.97%     116.782us         2.97%     116.782us       5.839us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.39%      54.654us         1.39%      54.654us      27.327us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.934ms
Self CUDA time total: 1.983ms
