-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.267ms        39.63%       1.267ms      15.838us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.194ms        37.33%       1.194ms      14.920us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     331.577us        10.37%     331.577us       4.145us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     184.352us         5.77%     184.352us       9.218us            20  
                                            aten::copy_         1.85%      93.957us         4.53%     230.483us      11.524us     117.056us         3.66%     117.056us       5.853us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     117.056us         3.66%     117.056us       5.853us            20  
                                              aten::all         5.52%     281.088us        37.28%       1.897ms      94.832us      79.745us         2.49%      83.297us       4.165us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      79.745us         2.49%      79.745us       3.987us            20  
                              aten::_local_scalar_dense         1.49%      75.824us        49.58%       2.523ms     126.137us      23.934us         0.75%      23.934us       1.197us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.934us         0.75%      23.934us       1.197us            20  
                                        cudaGraphLaunch         5.46%     277.602us         5.46%     277.602us      13.880us       6.176us         0.19%       6.176us       0.309us            20  
                                Activity Buffer Request        28.77%       1.464ms        28.77%       1.464ms       1.464ms       3.552us         0.11%       3.552us       3.552us             1  
                                       aten::as_strided         0.31%      15.591us         0.31%      15.591us       0.780us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.67%     136.080us         2.67%     136.080us       6.804us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.32%      16.150us        50.30%       2.560ms     127.976us       0.000us         0.00%      23.934us       1.197us            20  
                                             aten::item         0.41%      20.640us        49.99%       2.543ms     127.169us       0.000us         0.00%      23.934us       1.197us            20  
                                        cudaMemcpyAsync         4.76%     241.995us         4.76%     241.995us       6.050us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        46.02%       2.341ms        46.02%       2.341ms     117.072us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.44%     123.954us         2.44%     123.954us      61.977us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.088ms
Self CUDA time total: 3.197ms
