-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.372ms        34.52%       4.372ms      54.654us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       4.333ms        34.21%       4.333ms      54.158us            80  
                                         _attn_resident         0.00%       0.000us         0.00%       0.000us       0.000us       2.572ms        20.31%       2.572ms      32.152us            80  
                                            aten::copy_         1.11%     163.277us         3.20%     472.359us      11.809us     813.282us         6.42%     813.282us      20.332us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     813.282us         6.42%     813.282us      20.332us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     446.591us         3.53%     446.591us      22.330us            20  
                                              aten::all         1.77%     260.926us        12.77%       1.885ms      94.260us     103.678us         0.82%     108.350us       5.417us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     103.678us         0.82%     103.678us       5.184us            20  
                              aten::_local_scalar_dense         0.63%      93.119us        76.96%      11.361ms     568.066us      25.152us         0.20%      25.152us       1.258us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      25.152us         0.20%      25.152us       1.258us            20  
                                Activity Buffer Request         9.95%       1.468ms         9.95%       1.468ms       1.468ms       4.672us         0.04%       4.672us       4.672us             1  
                                       aten::as_strided         0.11%      16.190us         0.11%      16.190us       0.809us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.95%     139.622us         0.95%     139.622us       6.981us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.13%      18.804us        77.29%      11.410ms     570.494us       0.000us         0.00%      25.152us       1.258us            20  
                                             aten::item         0.20%      29.758us        77.16%      11.391ms     569.554us       0.000us         0.00%      25.152us       1.258us            20  
                                        cudaMemcpyAsync         2.85%     420.842us         2.85%     420.842us       7.014us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        75.57%      11.156ms        75.57%      11.156ms     557.822us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.05%     303.173us         2.05%     303.173us      15.159us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.33%      48.384us         2.27%     334.543us      16.727us       0.000us         0.00%     388.674us      19.434us            20  
                                    aten::empty_strided         0.58%      85.512us         0.58%      85.512us       4.276us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.78%     558.747us         3.78%     558.747us     279.373us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.763ms
Self CUDA time total: 12.666ms
