-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.086ms        36.88%       4.086ms      51.070us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.698ms        33.38%       3.698ms      46.222us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms        18.14%       2.010ms      25.124us            80  
                                            aten::copy_         1.16%     173.473us         3.38%     504.399us      12.610us     791.327us         7.14%     791.327us      19.783us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     791.327us         7.14%     791.327us      19.783us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     380.001us         3.43%     380.001us      19.000us            20  
                                              aten::all         1.84%     273.788us        13.04%       1.945ms      97.249us      89.631us         0.81%      93.599us       4.680us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      89.631us         0.81%      89.631us       4.482us            20  
                              aten::_local_scalar_dense         0.67%      99.647us        60.27%       8.991ms     449.566us      22.883us         0.21%      22.883us       1.144us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.883us         0.21%      22.883us       1.144us            20  
                                Activity Buffer Request        10.09%       1.505ms        10.09%       1.505ms       1.505ms       3.968us         0.04%       3.968us       3.968us             1  
                                       aten::as_strided         0.10%      15.409us         0.10%      15.409us       0.770us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.01%     150.344us         1.01%     150.344us       7.517us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.12%      17.581us        60.62%       9.043ms     452.143us       0.000us         0.00%      22.883us       1.144us            20  
                                             aten::item         0.23%      33.947us        60.50%       9.025ms     451.264us       0.000us         0.00%      22.883us       1.144us            20  
                                        cudaMemcpyAsync         2.96%     441.105us         2.96%     441.105us       7.352us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        58.87%       8.782ms        58.87%       8.782ms     439.075us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.27%     338.439us         2.27%     338.439us      16.922us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone        16.86%       2.515ms        19.03%       2.839ms     141.929us       0.000us         0.00%     360.159us      18.008us            20  
                                    aten::empty_strided         0.66%      98.015us         0.66%      98.015us       4.901us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.18%     474.147us         3.18%     474.147us     237.073us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.918ms
Self CUDA time total: 11.077ms
