-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     536.389us        40.06%     536.389us       6.705us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     317.568us        23.72%     317.568us       3.970us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     232.831us        17.39%     232.831us       2.910us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     143.427us        10.71%     143.427us       7.171us            20  
                                              aten::all         7.00%     244.535us        58.67%       2.050ms     102.489us      47.456us         3.54%      50.112us       2.506us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      47.456us         3.54%      47.456us       2.373us            20  
                                            aten::copy_         3.89%     135.861us        11.19%     390.841us       9.771us      42.401us         3.17%      42.401us       1.060us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      42.401us         3.17%      42.401us       1.060us            40  
                              aten::_local_scalar_dense         2.24%      78.329us        17.04%     595.296us      29.765us      18.784us         1.40%      18.784us       0.939us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      18.784us         1.40%      18.784us       0.939us            20  
                                Activity Buffer Request        47.58%       1.662ms        47.58%       1.662ms       1.662ms       2.656us         0.20%       2.656us       2.656us             1  
                                        cudaGraphLaunch         8.19%     286.183us         8.19%     286.183us      14.309us       1.952us         0.15%       1.952us       0.098us            20  
                                       aten::as_strided         0.38%      13.404us         0.38%      13.404us       0.670us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.71%     129.524us         3.71%     129.524us       6.476us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.40%      14.013us        18.09%     632.084us      31.604us       0.000us         0.00%      18.784us       0.939us            20  
                                             aten::item         0.65%      22.775us        17.69%     618.071us      30.904us       0.000us         0.00%      18.784us       0.939us            20  
                                        cudaMemcpyAsync        10.02%     350.188us        10.02%     350.188us       5.836us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        12.07%     421.759us        12.07%     421.759us      21.088us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         1.07%      37.376us         8.10%     282.904us      14.145us       0.000us         0.00%      21.023us       1.051us            20  
                                    aten::empty_strided         2.12%      74.111us         2.12%      74.111us       3.706us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.67%      23.504us         0.67%      23.504us      11.752us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.494ms
Self CUDA time total: 1.339ms
