-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.056ms        38.97%       1.056ms      13.205us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     995.396us        36.72%     995.396us      12.442us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     291.810us        10.77%     291.810us       3.648us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     156.512us         5.77%     156.512us       7.826us            20  
                                            aten::copy_         1.52%      92.326us         3.82%     232.621us      11.631us     114.019us         4.21%     114.019us       5.701us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     114.019us         4.21%     114.019us       5.701us            20  
                                              aten::all         4.49%     273.195us        55.51%       3.380ms     168.988us      72.576us         2.68%      75.616us       3.781us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.576us         2.68%      72.576us       3.629us            20  
                              aten::_local_scalar_dense         1.21%      73.609us        33.99%       2.070ms     103.479us      23.809us         0.88%      23.809us       1.190us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.809us         0.88%      23.809us       1.190us            20  
                                        cudaGraphLaunch         4.52%     275.291us         4.52%     275.291us      13.765us       6.336us         0.23%       6.336us       0.317us            20  
                                Activity Buffer Request        48.49%       2.952ms        48.49%       2.952ms       2.952ms       3.040us         0.11%       3.040us       3.040us             1  
                                       aten::as_strided         0.25%      15.169us         0.25%      15.169us       0.758us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.28%     139.014us         2.28%     139.014us       6.951us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.28%      17.001us        34.56%       2.104ms     105.224us       0.000us         0.00%      23.809us       1.190us            20  
                                             aten::item         0.29%      17.895us        34.29%       2.087ms     104.374us       0.000us         0.00%      23.809us       1.190us            20  
                                        cudaMemcpyAsync         4.12%     250.775us         4.12%     250.775us       6.269us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        30.97%       1.885ms        30.97%       1.885ms      94.274us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.58%      96.352us         1.58%      96.352us      48.176us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.088ms
Self CUDA time total: 2.711ms
