-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.271ms        38.82%       1.271ms      15.894us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.196ms        36.52%       1.196ms      14.952us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     403.992us        12.33%     403.992us       5.050us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     182.753us         5.58%     182.753us       9.138us            20  
                                            aten::copy_         1.90%     102.122us         4.50%     241.786us      12.089us     115.136us         3.51%     115.136us       5.757us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     115.136us         3.51%     115.136us       5.757us            20  
                                              aten::all         5.10%     274.135us        39.07%       2.099ms     104.970us      82.337us         2.51%      85.729us       4.286us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      82.337us         2.51%      82.337us       4.117us            20  
                              aten::_local_scalar_dense         1.41%      76.022us        48.19%       2.590ms     129.498us      23.745us         0.72%      23.745us       1.187us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.745us         0.72%      23.745us       1.187us            20  
                                        cudaGraphLaunch         5.21%     279.750us         5.21%     279.750us      13.987us       4.992us         0.15%       4.992us       0.250us            20  
                                Activity Buffer Request        31.13%       1.673ms        31.13%       1.673ms       1.673ms       3.392us         0.10%       3.392us       3.392us             1  
                                       aten::as_strided         0.29%      15.428us         0.29%      15.428us       0.771us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.55%     136.961us         2.55%     136.961us       6.848us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.30%      15.986us        48.85%       2.625ms     131.269us       0.000us         0.00%      23.745us       1.187us            20  
                                             aten::item         0.36%      19.432us        48.56%       2.609ms     130.469us       0.000us         0.00%      23.745us       1.187us            20  
                                        cudaMemcpyAsync         4.91%     264.110us         4.91%     264.110us       6.603us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        44.46%       2.389ms        44.46%       2.389ms     119.474us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.38%     127.692us         2.38%     127.692us      63.846us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.374ms
Self CUDA time total: 3.276ms
