-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     533.181us        40.80%     533.181us       6.665us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     316.315us        24.20%     316.315us       3.954us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     206.079us        15.77%     206.079us       2.576us            80  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     142.974us        10.94%     142.974us       7.149us            20  
                                              aten::all         8.43%     327.969us        61.72%       2.401ms     120.073us      46.946us         3.59%      49.699us       2.485us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      46.946us         3.59%      46.946us       2.347us            20  
                                            aten::copy_         3.92%     152.507us        10.95%     426.072us      10.652us      42.081us         3.22%      42.081us       1.052us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      42.081us         3.22%      42.081us       1.052us            40  
                              aten::_local_scalar_dense         2.16%      83.981us        14.33%     557.537us      27.877us      19.264us         1.47%      19.264us       0.963us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      19.264us         1.47%      19.264us       0.963us            20  
                                Activity Buffer Request        49.28%       1.918ms        49.28%       1.918ms       1.918ms       2.753us         0.21%       2.753us       2.753us             1  
                                        cudaGraphLaunch         8.17%     317.891us         8.17%     317.891us      15.895us       1.952us         0.15%       1.952us       0.098us            20  
                                       aten::as_strided         0.37%      14.569us         0.37%      14.569us       0.728us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.63%     141.238us         3.63%     141.238us       7.062us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.40%      15.599us        15.44%     600.850us      30.042us       0.000us         0.00%      19.264us       0.963us            20  
                                             aten::item         0.71%      27.714us        15.04%     585.251us      29.263us       0.000us         0.00%      19.264us       0.963us            20  
                                        cudaMemcpyAsync        10.29%     400.332us        10.29%     400.332us       6.672us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize         8.91%     346.789us         8.91%     346.789us      17.339us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         1.06%      41.140us         8.40%     326.686us      16.334us       0.000us         0.00%      20.864us       1.043us            20  
                                    aten::empty_strided         2.15%      83.510us         2.15%      83.510us       4.175us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.52%      20.278us         0.52%      20.278us      10.139us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.891ms
Self CUDA time total: 1.307ms
