-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.271ms        39.71%       1.271ms      15.893us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.195ms        37.33%       1.195ms      14.940us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     328.511us        10.26%     328.511us       4.106us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     184.094us         5.75%     184.094us       9.205us            20  
                                            aten::copy_         1.91%      97.083us         4.71%     239.534us      11.977us     115.842us         3.62%     115.842us       5.792us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     115.842us         3.62%     115.842us       5.792us            20  
                                              aten::all         5.25%     266.659us        36.09%       1.834ms      91.714us      82.400us         2.57%      85.760us       4.288us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      82.400us         2.57%      82.400us       4.120us            20  
                              aten::_local_scalar_dense         1.63%      82.963us        50.67%       2.575ms     128.763us      24.161us         0.75%      24.161us       1.208us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.161us         0.75%      24.161us       1.208us            20  
                                        cudaGraphLaunch         5.38%     273.506us         5.38%     273.506us      13.675us       6.240us         0.19%       6.240us       0.312us            20  
                                Activity Buffer Request        27.94%       1.420ms        27.94%       1.420ms       1.420ms       3.360us         0.10%       3.360us       3.360us             1  
                                       aten::as_strided         0.29%      14.868us         0.29%      14.868us       0.743us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.60%     132.379us         2.60%     132.379us       6.619us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.35%      17.660us        51.44%       2.615ms     130.733us       0.000us         0.00%      24.161us       1.208us            20  
                                             aten::item         0.43%      21.752us        51.09%       2.597ms     129.850us       0.000us         0.00%      24.161us       1.208us            20  
                                        cudaMemcpyAsync         4.96%     251.957us         4.96%     251.957us       6.299us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        46.88%       2.383ms        46.88%       2.383ms     119.139us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.38%     120.789us         2.38%     120.789us      60.395us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.083ms
Self CUDA time total: 3.202ms
