-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.953ms        36.15%       3.953ms      49.407us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.718ms        34.00%       3.718ms      46.469us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.961ms        17.93%       1.961ms      24.508us            80  
                                            aten::copy_         1.20%     151.119us         3.35%     420.174us      10.504us     801.537us         7.33%     801.537us      20.038us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     801.537us         7.33%     801.537us      20.038us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     386.526us         3.53%     386.526us      19.326us            20  
                                              aten::all         2.01%     252.194us        14.98%       1.879ms      93.957us      92.639us         0.85%      96.703us       4.835us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.639us         0.85%      92.639us       4.632us            20  
                              aten::_local_scalar_dense         0.62%      77.487us        74.10%       9.295ms     464.726us      23.489us         0.21%      23.489us       1.174us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.489us         0.21%      23.489us       1.174us            20  
                                Activity Buffer Request        11.81%       1.481ms        11.81%       1.481ms       1.481ms       4.064us         0.04%       4.064us       4.064us             1  
                                       aten::as_strided         0.10%      12.995us         0.10%      12.995us       0.650us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.06%     132.842us         1.06%     132.842us       6.642us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.12%      15.399us        74.42%       9.335ms     466.754us       0.000us         0.00%      23.489us       1.174us            20  
                                             aten::item         0.20%      25.165us        74.30%       9.320ms     465.984us       0.000us         0.00%      23.489us       1.174us            20  
                                        cudaMemcpyAsync         2.96%     371.297us         2.96%     371.297us       6.188us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        72.67%       9.115ms        72.67%       9.115ms     455.739us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.45%     306.744us         2.45%     306.744us      15.337us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.31%      38.909us         2.44%     306.450us      15.322us       0.000us         0.00%     372.480us      18.624us            20  
                                    aten::empty_strided         0.67%      84.556us         0.67%      84.556us       4.228us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.82%     478.736us         3.82%     478.736us     239.368us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.543ms
Self CUDA time total: 10.935ms
