-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.271ms        38.76%       1.271ms      15.889us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms        36.25%       1.189ms      14.859us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     343.038us        10.46%     343.038us       4.288us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     214.046us         6.53%     214.046us      10.702us            20  
                                            aten::copy_         2.99%     165.622us         8.15%     451.136us      11.278us     168.384us         5.14%     168.384us       4.210us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     168.384us         5.14%     168.384us       4.210us            40  
                                              aten::all         4.84%     268.210us        38.25%       2.118ms     105.894us      70.686us         2.16%      73.950us       3.698us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      70.686us         2.16%      70.686us       3.534us            20  
                              aten::_local_scalar_dense         1.45%      80.365us        42.87%       2.374ms     118.676us      23.165us         0.71%      23.165us       1.158us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.165us         0.71%      23.165us       1.158us            20  
                                        cudaGraphLaunch         5.86%     324.523us         5.86%     324.523us      16.226us       6.528us         0.20%       6.528us       0.326us            20  
                                Activity Buffer Request        30.63%       1.696ms        30.63%       1.696ms       1.696ms       3.264us         0.10%       3.264us       3.264us             1  
                                       aten::as_strided         0.26%      14.156us         0.26%      14.156us       0.708us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.52%     139.553us         2.52%     139.553us       6.978us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.27%      15.121us        43.61%       2.414ms     120.705us       0.000us         0.00%      23.165us       1.158us            20  
                                             aten::item         0.46%      25.464us        43.33%       2.399ms     119.949us       0.000us         0.00%      23.165us       1.158us            20  
                                        cudaMemcpyAsync         7.10%     393.055us         7.10%     393.055us       6.551us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        39.48%       2.186ms        39.48%       2.186ms     109.281us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.72%      40.042us         5.75%     318.100us      15.905us       0.000us         0.00%      63.232us       3.162us            20  
                                    aten::empty_strided         1.46%      80.745us         1.46%      80.745us       4.037us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.95%     107.865us         1.95%     107.865us      53.932us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.536ms
Self CUDA time total: 3.279ms
