-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       5.924ms        53.08%       5.924ms      74.054us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.924ms        35.16%       3.924ms      49.046us            80  
                                            aten::copy_         1.07%     140.115us         3.03%     396.629us       9.916us     791.330us         7.09%     791.330us      19.783us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     791.330us         7.09%     791.330us      19.783us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     405.564us         3.63%     405.564us      20.278us            20  
                                              aten::all         1.80%     235.807us        15.98%       2.091ms     104.547us      92.415us         0.83%      96.511us       4.826us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.415us         0.83%      92.415us       4.621us            20  
                              aten::_local_scalar_dense         0.57%      74.292us        74.21%       9.712ms     485.593us      22.881us         0.21%      22.881us       1.144us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.881us         0.21%      22.881us       1.144us            20  
                                Activity Buffer Request        13.11%       1.716ms        13.11%       1.716ms       1.716ms       4.096us         0.04%       4.096us       4.096us             1  
                                       aten::as_strided         0.11%      14.956us         0.11%      14.956us       0.748us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.95%     124.564us         0.95%     124.564us       6.228us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      15.026us        74.49%       9.748ms     487.381us       0.000us         0.00%      22.881us       1.144us            20  
                                             aten::item         0.16%      20.732us        74.37%       9.733ms     486.629us       0.000us         0.00%      22.881us       1.144us            20  
                                        cudaMemcpyAsync         2.71%     354.969us         2.71%     354.969us       5.916us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        72.89%       9.539ms        72.89%       9.539ms     476.955us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         1.81%     237.022us         1.81%     237.022us      11.851us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.29%      38.560us         2.27%     297.159us      14.858us       0.000us         0.00%     360.480us      18.024us            20  
                                    aten::empty_strided         0.60%      78.500us         0.60%      78.500us       3.925us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.80%     497.020us         3.80%     497.020us     248.510us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.086ms
Self CUDA time total: 11.160ms
