-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.961ms        35.75%       3.961ms      49.513us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.710ms        33.49%       3.710ms      46.370us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.480ms        22.38%       2.480ms      30.994us            80  
                                            aten::copy_         0.79%     100.540us         2.02%     257.488us      12.874us     432.448us         3.90%     432.448us      21.622us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     432.448us         3.90%     432.448us      21.622us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     380.096us         3.43%     380.096us      19.005us            20  
                                              aten::all         2.12%     271.222us        14.72%       1.879ms      93.934us      91.488us         0.83%      95.456us       4.773us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      91.488us         0.83%      91.488us       4.574us            20  
                              aten::_local_scalar_dense         0.60%      76.943us        76.79%       9.801ms     490.029us      24.160us         0.22%      24.160us       1.208us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.160us         0.22%      24.160us       1.208us            20  
                                        cudaGraphLaunch         2.30%     293.142us         2.30%     293.142us      14.657us       9.088us         0.08%       9.088us       0.454us            20  
                                Activity Buffer Request        11.40%       1.456ms        11.40%       1.456ms       1.456ms       3.968us         0.04%       3.968us       3.968us             1  
                                       aten::as_strided         0.11%      13.975us         0.11%      13.975us       0.699us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.08%     137.883us         1.08%     137.883us       6.894us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.13%      17.135us        77.07%       9.837ms     491.851us       0.000us         0.00%      24.160us       1.208us            20  
                                             aten::item         0.15%      19.315us        76.94%       9.820ms     490.995us       0.000us         0.00%      24.160us       1.208us            20  
                                        cudaMemcpyAsync         2.06%     263.139us         2.06%     263.139us       6.578us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        75.35%       9.617ms        75.35%       9.617ms     480.872us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.90%     497.190us         3.90%     497.190us     248.595us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.764ms
Self CUDA time total: 11.078ms
