-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.967ms        35.41%       3.967ms      49.590us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.897ms        34.78%       3.897ms      48.710us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.019ms        18.02%       2.019ms      25.243us            80  
                                            aten::copy_         1.21%     159.086us         3.36%     442.913us      11.073us     803.583us         7.17%     803.583us      20.090us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     803.583us         7.17%     803.583us      20.090us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     404.096us         3.61%     404.096us      20.205us            20  
                                              aten::all         2.01%     264.871us        16.81%       2.219ms     110.958us      90.432us         0.81%      94.272us       4.714us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.432us         0.81%      90.432us       4.522us            20  
                              aten::_local_scalar_dense         0.58%      77.033us        72.58%       9.580ms     478.999us      22.528us         0.20%      22.528us       1.126us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.528us         0.20%      22.528us       1.126us            20  
                                Activity Buffer Request        13.68%       1.805ms        13.68%       1.805ms       1.805ms       3.840us         0.03%       3.840us       3.840us             1  
                                       aten::as_strided         0.11%      14.026us         0.11%      14.026us       0.701us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.02%     135.146us         1.02%     135.146us       6.757us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.12%      15.779us        72.89%       9.622ms     481.095us       0.000us         0.00%      22.528us       1.126us            20  
                                             aten::item         0.20%      26.150us        72.77%       9.606ms     480.306us       0.000us         0.00%      22.528us       1.126us            20  
                                        cudaMemcpyAsync         2.93%     386.529us         2.93%     386.529us       6.442us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        71.21%       9.400ms        71.21%       9.400ms     470.012us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.28%     300.517us         2.28%     300.517us      15.026us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.28%      37.094us         2.41%     318.625us      15.931us       0.000us         0.00%     369.824us      18.491us            20  
                                    aten::empty_strided         0.67%      88.226us         0.67%      88.226us       4.411us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.71%     490.097us         3.71%     490.097us     245.048us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.200ms
Self CUDA time total: 11.204ms
