-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.267ms        42.04%       1.267ms      15.833us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.228ms        40.74%       1.228ms      15.344us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     336.606us        11.17%     336.606us       4.208us            80  
                                              aten::all         5.38%     268.902us        40.36%       2.016ms     100.804us      79.935us         2.65%      83.359us       4.168us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      79.935us         2.65%      79.935us       3.997us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      78.910us         2.62%      78.910us       3.946us            20  
                              aten::_local_scalar_dense         1.49%      74.462us        50.63%       2.529ms     126.452us      23.136us         0.77%      23.136us       1.157us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.136us         0.77%      23.136us       1.157us            20  
                                        cudaGraphLaunch         5.87%     293.295us         5.87%     293.295us      14.665us       5.120us         0.17%       5.120us       0.256us            20  
                                Activity Buffer Request        31.74%       1.585ms        31.74%       1.585ms       1.585ms       3.424us         0.11%       3.424us       3.424us             1  
                                       aten::as_strided         0.27%      13.386us         0.27%      13.386us       0.669us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.97%     148.467us         2.97%     148.467us       7.423us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.36%      17.743us        51.41%       2.568ms     128.392us       0.000us         0.00%      23.136us       1.157us            20  
                                             aten::item         0.42%      21.052us        51.05%       2.550ms     127.505us       0.000us         0.00%      23.136us       1.157us            20  
                                        cudaMemcpyAsync         2.23%     111.328us         2.23%     111.328us       5.566us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaStreamSynchronize        46.91%       2.343ms        46.91%       2.343ms     117.163us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.36%     118.023us         2.36%     118.023us      59.011us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.995ms
Self CUDA time total: 3.013ms
