-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     636.831us        36.92%     636.831us       7.960us            80  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     488.223us        28.31%     488.223us       6.103us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     313.566us        18.18%     313.566us       3.920us            80  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     146.849us         8.51%     146.849us       7.342us            20  
                                            aten::copy_         3.45%     135.297us         9.48%     371.785us       9.295us      65.409us         3.79%      65.409us       1.635us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      65.409us         3.79%      65.409us       1.635us            40  
                                              aten::all         5.93%     232.527us        51.26%       2.010ms     100.518us      52.351us         3.04%      55.103us       2.755us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      52.351us         3.04%      52.351us       2.618us            20  
                              aten::_local_scalar_dense         1.73%      67.840us        27.41%       1.075ms      53.757us      21.569us         1.25%      21.569us       1.078us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.569us         1.25%      21.569us       1.078us            20  
                                        cudaGraphLaunch         7.18%     281.540us         7.18%     281.540us      14.077us       2.816us         0.16%       2.816us       0.141us            20  
                                Activity Buffer Request        41.95%       1.645ms        41.95%       1.645ms       1.645ms       2.752us         0.16%       2.752us       2.752us             1  
                                       aten::as_strided         0.34%      13.346us         0.34%      13.346us       0.667us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.04%     119.339us         3.04%     119.339us       5.967us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.36%      14.237us        28.34%       1.112ms      55.580us       0.000us         0.00%      21.569us       1.078us            20  
                                             aten::item         0.57%      22.210us        27.98%       1.097ms      54.868us       0.000us         0.00%      21.569us       1.078us            20  
                                        cudaMemcpyAsync         8.46%     331.857us         8.46%     331.857us       5.531us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        23.25%     911.935us        23.25%     911.935us      45.597us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.86%      33.580us         7.14%     280.074us      14.004us       0.000us         0.00%      29.439us       1.472us            20  
                                    aten::empty_strided         1.91%      74.750us         1.91%      74.750us       3.737us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.98%      38.442us         0.98%      38.442us      19.221us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.922ms
Self CUDA time total: 1.725ms
