-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.073ms        39.15%       1.073ms      13.416us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     984.925us        35.93%     984.925us      12.312us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     328.450us        11.98%     328.450us       4.106us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     155.010us         5.65%     155.010us       7.751us            20  
                                            aten::copy_         2.02%      94.930us         4.81%     226.309us      11.315us     105.566us         3.85%     105.566us       5.278us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     105.566us         3.85%     105.566us       5.278us            20  
                                              aten::all         5.79%     272.822us        40.10%       1.888ms      94.385us      71.839us         2.62%      74.655us       3.733us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      71.839us         2.62%      71.839us       3.592us            20  
                              aten::_local_scalar_dense         1.56%      73.428us        46.36%       2.182ms     109.125us      22.304us         0.81%      22.304us       1.115us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.304us         0.81%      22.304us       1.115us            20  
                                        cudaGraphLaunch         6.19%     291.382us         6.19%     291.382us      14.569us       5.472us         0.20%       5.472us       0.274us            20  
                                Activity Buffer Request        31.12%       1.465ms        31.12%       1.465ms       1.465ms       2.816us         0.10%       2.816us       2.816us             1  
                                       aten::as_strided         0.31%      14.457us         0.31%      14.457us       0.723us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.88%     135.373us         2.88%     135.373us       6.769us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.35%      16.432us        47.09%       2.217ms     110.844us       0.000us         0.00%      22.304us       1.115us            20  
                                             aten::item         0.38%      17.954us        46.74%       2.200ms     110.023us       0.000us         0.00%      22.304us       1.115us            20  
                                        cudaMemcpyAsync         5.29%     248.820us         5.29%     248.820us       6.221us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        42.30%       1.992ms        42.30%       1.992ms      99.581us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.82%      85.693us         1.82%      85.693us      42.847us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.708ms
Self CUDA time total: 2.741ms
