-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     944.602us        41.91%     944.602us      11.808us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     503.769us        22.35%     503.769us       6.297us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     475.644us        21.11%     475.644us       5.946us            80  
                                            aten::copy_         3.38%     143.014us         9.19%     388.954us       9.724us     157.121us         6.97%     157.121us       3.928us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     157.121us         6.97%     157.121us       3.928us            40  
                                              aten::all         5.81%     245.765us        47.05%       1.991ms      99.568us      79.582us         3.53%      83.582us       4.179us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      79.582us         3.53%      79.582us       3.979us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      71.264us         3.16%      71.264us       3.563us            20  
                              aten::_local_scalar_dense         1.72%      72.655us        31.60%       1.338ms      66.885us      21.634us         0.96%      21.634us       1.082us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.634us         0.96%      21.634us       1.082us            20  
                                Activity Buffer Request        37.95%       1.606ms        37.95%       1.606ms       1.606ms       4.000us         0.18%       4.000us       4.000us             1  
                                       aten::as_strided         0.32%      13.496us         0.32%      13.496us       0.675us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.97%     125.849us         2.97%     125.849us       6.292us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.36%      15.079us        32.51%       1.376ms      68.807us       0.000us         0.00%      21.634us       1.082us            20  
                                             aten::item         0.55%      23.344us        32.15%       1.361ms      68.053us       0.000us         0.00%      21.634us       1.082us            20  
                                        cudaMemcpyAsync         8.32%     352.101us         8.32%     352.101us       5.868us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        27.38%       1.159ms        27.38%       1.159ms      57.945us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         6.99%     295.715us         6.99%     295.715us      14.786us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.90%      38.239us         6.89%     291.654us      14.583us       0.000us         0.00%      52.897us       2.645us            20  
                                    aten::empty_strided         1.86%      78.909us         1.86%      78.909us       3.945us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.50%      63.580us         1.50%      63.580us      31.790us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.233ms
Self CUDA time total: 2.254ms
