-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.975ms        39.09%       3.975ms      49.682us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.310ms        32.56%       3.310ms      41.378us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.949ms        19.17%       1.949ms      24.358us            80  
                                            aten::copy_         0.76%      92.434us         1.89%     229.634us      11.482us     437.022us         4.30%     437.022us      21.851us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     437.022us         4.30%     437.022us      21.851us            20  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     382.046us         3.76%     382.046us      19.102us            20  
                                              aten::all         2.13%     259.199us        17.63%       2.144ms     107.216us      92.573us         0.91%      96.669us       4.833us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.573us         0.91%      92.573us       4.629us            20  
                              aten::_local_scalar_dense         0.62%      75.285us        74.10%       9.015ms     450.763us      22.335us         0.22%      22.335us       1.117us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.335us         0.22%      22.335us       1.117us            20  
                                        cudaGraphLaunch         2.30%     280.241us         2.30%     280.241us      14.012us       9.376us         0.09%       9.376us       0.469us            20  
                                Activity Buffer Request        14.30%       1.740ms        14.30%       1.740ms       1.740ms       4.096us         0.04%       4.096us       4.096us             1  
                                       aten::as_strided         0.12%      14.869us         0.12%      14.869us       0.743us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.07%     129.937us         1.07%     129.937us       6.497us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.15%      18.018us        74.44%       9.056ms     452.797us       0.000us         0.00%      22.335us       1.117us            20  
                                             aten::item         0.19%      22.652us        74.29%       9.038ms     451.896us       0.000us         0.00%      22.335us       1.117us            20  
                                        cudaMemcpyAsync         2.05%     249.129us         2.05%     249.129us       6.228us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        72.56%       8.828ms        72.56%       8.828ms     441.402us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.75%     455.982us         3.75%     455.982us     227.991us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.166ms
Self CUDA time total: 10.167ms
