-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.094ms        31.19%       4.094ms      51.175us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       3.999ms        30.47%       3.999ms      49.990us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.733ms        28.44%       3.733ms      46.658us            80  
                                            aten::copy_         1.01%     149.021us         2.81%     414.245us      10.356us     798.305us         6.08%     798.305us      19.958us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     798.305us         6.08%     798.305us      19.958us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     386.689us         2.95%     386.689us      19.334us            20  
                                              aten::all         1.66%     245.211us        12.81%       1.889ms      94.460us      92.833us         0.71%      96.833us       4.842us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.833us         0.71%      92.833us       4.642us            20  
                              aten::_local_scalar_dense         0.50%      74.035us        77.33%      11.405ms     570.269us      23.264us         0.18%      23.264us       1.163us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.264us         0.18%      23.264us       1.163us            20  
                                Activity Buffer Request        10.09%       1.489ms        10.09%       1.489ms       1.489ms       4.000us         0.03%       4.000us       4.000us             1  
                                       aten::as_strided         0.09%      13.456us         0.09%      13.456us       0.673us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.96%     141.997us         0.96%     141.997us       7.100us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.10%      15.410us        77.60%      11.446ms     572.298us       0.000us         0.00%      23.264us       1.163us            20  
                                             aten::item         0.17%      25.157us        77.50%      11.431ms     571.527us       0.000us         0.00%      23.264us       1.163us            20  
                                        cudaMemcpyAsync         2.47%     364.982us         2.47%     364.982us       6.083us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        76.15%      11.232ms        76.15%      11.232ms     561.580us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.00%     295.195us         2.00%     295.195us      14.760us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.25%      36.969us         1.96%     289.166us      14.458us       0.000us         0.00%     371.584us      18.579us            20  
                                    aten::empty_strided         0.50%      73.668us         0.50%      73.668us       3.683us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.03%     594.294us         4.03%     594.294us     297.147us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.750ms
Self CUDA time total: 13.127ms
