-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.796ms        35.13%       3.796ms      47.445us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.756ms        34.77%       3.756ms      46.956us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.969ms        18.22%       1.969ms      24.614us            80  
                                            aten::copy_         1.18%     149.201us         3.27%     411.761us      10.294us     794.784us         7.36%     794.784us      19.870us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     794.784us         7.36%     794.784us      19.870us            40  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     374.398us         3.47%     374.398us      18.720us            20  
                                              aten::all         1.92%     242.004us        15.18%       1.912ms      95.577us      90.850us         0.84%      94.754us       4.738us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.850us         0.84%      90.850us       4.542us            20  
                              aten::_local_scalar_dense         0.62%      78.649us        74.10%       9.333ms     466.669us      23.488us         0.22%      23.488us       1.174us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.488us         0.22%      23.488us       1.174us            20  
                                Activity Buffer Request        12.13%       1.527ms        12.13%       1.527ms       1.527ms       3.904us         0.04%       3.904us       3.904us             1  
                                       aten::as_strided         0.11%      13.858us         0.11%      13.858us       0.693us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.02%     128.306us         1.02%     128.306us       6.415us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      14.073us        74.42%       9.374ms     468.681us       0.000us         0.00%      23.488us       1.174us            20  
                                             aten::item         0.21%      26.151us        74.30%       9.360ms     467.977us       0.000us         0.00%      23.488us       1.174us            20  
                                        cudaMemcpyAsync         2.86%     360.855us         2.86%     360.855us       6.014us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        72.69%       9.156ms        72.69%       9.156ms     457.822us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.33%     293.185us         2.33%     293.185us      14.659us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.33%      41.630us         2.41%     303.303us      15.165us       0.000us         0.00%     363.873us      18.194us            20  
                                    aten::empty_strided         0.62%      78.266us         0.62%      78.266us       3.913us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.86%     486.160us         3.86%     486.160us     243.080us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.596ms
Self CUDA time total: 10.805ms
