-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.917ms        33.93%       3.917ms      48.966us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.821ms        33.09%       3.821ms      47.761us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.475ms        21.43%       2.475ms      30.934us            80  
                                            aten::copy_         1.21%     159.684us         3.41%     449.110us      11.228us     803.104us         6.96%     803.104us      20.078us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     803.104us         6.96%     803.104us      20.078us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     416.510us         3.61%     416.510us      20.825us            20  
                                              aten::all         1.91%     251.319us        14.35%       1.892ms      94.595us      90.560us         0.78%      94.496us       4.725us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      90.560us         0.78%      90.560us       4.528us            20  
                              aten::_local_scalar_dense         0.64%      83.979us        74.85%       9.871ms     493.526us      23.358us         0.20%      23.358us       1.168us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.358us         0.20%      23.358us       1.168us            20  
                                Activity Buffer Request        11.30%       1.490ms        11.30%       1.490ms       1.490ms       3.936us         0.03%       3.936us       3.936us             1  
                                       aten::as_strided         0.11%      14.236us         0.11%      14.236us       0.712us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.03%     136.056us         1.03%     136.056us       6.803us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.13%      17.462us        75.22%       9.918ms     495.910us       0.000us         0.00%      23.358us       1.168us            20  
                                             aten::item         0.23%      30.219us        75.08%       9.901ms     495.037us       0.000us         0.00%      23.358us       1.168us            20  
                                        cudaMemcpyAsync         2.97%     391.789us         2.97%     391.789us       6.530us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        73.44%       9.684ms        73.44%       9.684ms     484.209us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.28%     300.481us         2.28%     300.481us      15.024us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.28%      37.149us         2.33%     307.673us      15.384us       0.000us         0.00%     373.856us      18.693us            20  
                                    aten::empty_strided         0.66%      87.337us         0.66%      87.337us       4.367us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.81%     502.110us         3.81%     502.110us     251.055us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.186ms
Self CUDA time total: 11.546ms
