-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      46.605ms        47.13%      46.605ms     582.564us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      24.053ms        24.32%      24.053ms     300.667us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      21.154ms        21.39%      21.154ms     264.424us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.447ms         3.49%       3.447ms     172.373us            20  
                                            aten::copy_         0.13%     131.781us         0.35%     354.100us      17.705us       3.327ms         3.36%       3.327ms     166.338us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.327ms         3.36%       3.327ms     166.338us            20  
                                              aten::all         0.30%     300.642us         2.14%       2.158ms     107.917us     278.627us         0.28%     291.587us      14.579us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     278.627us         0.28%     278.627us      13.931us            20  
                                        cudaGraphLaunch         0.34%     344.494us         0.34%     344.494us      17.225us      28.640us         0.03%      28.640us       1.432us            20  
                              aten::_local_scalar_dense         0.12%     121.253us        92.27%      93.066ms       4.653ms      24.640us         0.02%      24.640us       1.232us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.640us         0.02%      24.640us       1.232us            20  
                                Activity Buffer Request         1.67%       1.686ms         1.67%       1.686ms       1.686ms      12.960us         0.01%      12.960us      12.960us             1  
                                       aten::as_strided         0.02%      17.431us         0.02%      17.431us       0.872us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.15%     154.523us         0.15%     154.523us       7.726us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      21.211us        92.33%      93.127ms       4.656ms       0.000us         0.00%      24.640us       1.232us            20  
                                             aten::item         0.04%      39.897us        92.31%      93.106ms       4.655ms       0.000us         0.00%      24.640us       1.232us            20  
                                        cudaMemcpyAsync         0.36%     359.275us         0.36%     359.275us       8.982us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        92.02%      92.808ms        92.02%      92.808ms       4.640ms       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.84%       4.877ms         4.84%       4.877ms       2.439ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 100.861ms
Self CUDA time total: 98.890ms
