-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.969ms        38.39%       3.969ms      49.617us            80  
                                            _block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.460ms        33.46%       3.460ms      43.256us            80  
                                            _attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.986ms        19.21%       1.986ms      24.828us            80  
                                            aten::copy_         0.77%      93.064us         1.92%     232.186us      11.609us     434.816us         4.20%     434.816us      21.741us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     434.816us         4.20%     434.816us      21.741us            20  
                                            _final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     373.183us         3.61%     373.183us      18.659us            20  
                                              aten::all         2.12%     256.972us        15.86%       1.920ms      96.019us      92.545us         0.89%      96.641us       4.832us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      92.545us         0.89%      92.545us       4.627us            20  
                              aten::_local_scalar_dense         0.63%      76.629us        75.64%       9.161ms     458.074us      23.969us         0.23%      23.969us       1.198us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.969us         0.23%      23.969us       1.198us            20  
                                        cudaGraphLaunch         2.47%     298.781us         2.47%     298.781us      14.939us       9.248us         0.09%       9.248us       0.462us            20  
                                Activity Buffer Request        12.56%       1.521ms        12.56%       1.521ms       1.521ms       4.096us         0.04%       4.096us       4.096us             1  
                                       aten::as_strided         0.12%      14.520us         0.12%      14.520us       0.726us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.05%     127.704us         1.05%     127.704us       6.385us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.14%      16.562us        75.96%       9.201ms     460.032us       0.000us         0.00%      23.969us       1.198us            20  
                                             aten::item         0.19%      22.593us        75.83%       9.184ms     459.204us       0.000us         0.00%      23.969us       1.198us            20  
                                        cudaMemcpyAsync         2.01%     243.827us         2.01%     243.827us       6.096us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        74.14%       8.980ms        74.14%       8.980ms     449.007us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.80%     459.720us         3.80%     459.720us     229.860us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.112ms
Self CUDA time total: 10.341ms
