Generating SQLite file /output/raw/nsys-timeline.sqlite from /output/raw/nsys-timeline.nsys-rep
Processing [/output/raw/nsys-timeline.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_trace.py](nvtx=profile-measured)... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
6138689325,3776,37429,1,1,1,512,1,1,26,0.000,0.001,,,,,NVIDIA GeForce RTX 3060 Ti (0),1,,7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
6138696013,1248,37435,,,,,,,,,,0.000,0.801,Device,Pinned,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Host]
6138725741,20768,37441,,,,,,,,,,4.194,201959.932,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6140922472,21440,37460,,,,,,,,,,4.194,195626.533,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6140944584,4576,37474,1,1,1,512,1,1,26,0.000,0.001,,,,,NVIDIA GeForce RTX 3060 Ti (0),1,,7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
6140949832,1216,37480,,,,,,,,,,0.000,0.822,Device,Pinned,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Host]
6140978952,21056,37486,,,,,,,,,,4.194,199195.886,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6143982498,21888,37505,,,,,,,,,,4.194,191625.167,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6144004962,4512,37519,1,1,1,512,1,1,26,0.000,0.001,,,,,NVIDIA GeForce RTX 3060 Ti (0),1,,7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
6144013346,1184,37525,,,,,,,,,,0.000,0.845,Device,Pinned,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Host]
6144047362,21088,37531,,,,,,,,,,4.194,198893.896,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6146262173,22208,37550,,,,,,,,,,4.194,188861.121,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6146285053,4608,37564,1,1,1,512,1,1,26,0.000,0.001,,,,,NVIDIA GeForce RTX 3060 Ti (0),1,,7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
6146291005,1248,37570,,,,,,,,,,0.000,0.801,Device,Pinned,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Host]
6146315133,20864,37576,,,,,,,,,,4.194,201028.796,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
6149338231,21760,37595,,,,,,,,,,4.194,192749.240,Device,Device,NVIDIA GeForce RTX 3060 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
