-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.959ms        37.81%       3.959ms      49.483us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.601ms        34.39%       3.601ms      45.013us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.988ms        18.98%       1.988ms      24.845us            80  
                                            aten::copy_         0.84%     103.537us         2.09%     257.820us      12.891us     424.736us         4.06%     424.736us      21.237us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     424.736us         4.06%     424.736us      21.237us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     382.435us         3.65%     382.435us      19.122us            20  
                                              aten::all         2.18%     268.981us        16.99%       2.096ms     104.786us      93.920us         0.90%      97.984us       4.899us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      93.920us         0.90%      93.920us       4.696us            20  
                              aten::_local_scalar_dense         0.63%      78.112us        74.42%       9.181ms     459.035us      22.815us         0.22%      22.815us       1.141us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.815us         0.22%      22.815us       1.141us            20  
                                        cudaGraphLaunch         2.41%     297.825us         2.41%     297.825us      14.891us       9.280us         0.09%       9.280us       0.464us            20  
                                Activity Buffer Request        13.54%       1.671ms        13.54%       1.671ms       1.671ms       4.064us         0.04%       4.064us       4.064us             1  
                                       aten::as_strided         0.12%      14.868us         0.12%      14.868us       0.743us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.15%     141.257us         1.15%     141.257us       7.063us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.14%      17.321us        74.73%       9.219ms     460.928us       0.000us         0.00%      22.815us       1.141us            20  
                                             aten::item         0.17%      20.538us        74.59%       9.201ms     460.062us       0.000us         0.00%      22.815us       1.141us            20  
                                        cudaMemcpyAsync         2.25%     277.484us         2.25%     277.484us       6.937us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        72.79%       8.979ms        72.79%       8.979ms     448.970us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.78%     466.031us         3.78%     466.031us     233.016us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.336ms
Self CUDA time total: 10.471ms
