-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.246ms        37.81%       1.246ms      15.581us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.180ms        35.79%       1.180ms      14.749us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     469.058us        14.23%     469.058us       5.863us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     180.353us         5.47%     180.353us       9.018us            20  
                                            aten::copy_         1.71%      95.979us         4.06%     227.911us      11.396us     115.041us         3.49%     115.041us       5.752us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     115.041us         3.49%     115.041us       5.752us            20  
                                              aten::all         4.77%     268.010us        39.98%       2.246ms     112.296us      81.952us         2.49%      85.408us       4.270us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      81.952us         2.49%      81.952us       4.098us            20  
                              aten::_local_scalar_dense         1.23%      68.994us        47.95%       2.694ms     134.680us      23.936us         0.73%      23.936us       1.197us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      23.936us         0.73%      23.936us       1.197us            20  
                                        cudaGraphLaunch         5.11%     287.022us         5.11%     287.022us      14.351us       6.016us         0.18%       6.016us       0.301us            20  
                                Activity Buffer Request        32.61%       1.832ms        32.61%       1.832ms       1.832ms       3.456us         0.10%       3.456us       3.456us             1  
                                       aten::as_strided         0.25%      13.945us         0.25%      13.945us       0.697us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.36%     132.280us         2.36%     132.280us       6.614us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.30%      16.804us        48.57%       2.728ms     136.412us       0.000us         0.00%      23.936us       1.197us            20  
                                             aten::item         0.32%      17.833us        48.27%       2.711ms     135.571us       0.000us         0.00%      23.936us       1.197us            20  
                                        cudaMemcpyAsync         4.42%     248.132us         4.42%     248.132us       6.203us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        44.66%       2.508ms        44.66%       2.508ms     125.420us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.28%     127.891us         2.28%     127.891us      63.946us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.617ms
Self CUDA time total: 3.297ms
