-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       4.228ms        35.98%       4.228ms      52.850us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       4.151ms        35.33%       4.151ms      51.892us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       2.052ms        17.46%       2.052ms      25.648us            80  
                                            aten::copy_         1.15%     154.528us         3.33%     447.522us      11.188us     801.472us         6.82%     801.472us      20.037us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     801.472us         6.82%     801.472us      20.037us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     390.016us         3.32%     390.016us      19.501us            20  
                                              aten::all         1.91%     257.387us        14.06%       1.890ms      94.517us     104.381us         0.89%     108.989us       5.449us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     104.381us         0.89%     104.381us       5.219us            20  
                              aten::_local_scalar_dense         0.61%      81.468us        75.11%      10.099ms     504.927us      24.831us         0.21%      24.831us       1.242us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.831us         0.21%      24.831us       1.242us            20  
                                Activity Buffer Request        10.95%       1.472ms        10.95%       1.472ms       1.472ms       4.608us         0.04%       4.608us       4.608us             1  
                                       aten::as_strided         0.10%      14.065us         0.10%      14.065us       0.703us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         1.09%     147.208us         1.09%     147.208us       7.360us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      15.351us        75.43%      10.142ms     507.078us       0.000us         0.00%      24.831us       1.242us            20  
                                             aten::item         0.21%      27.671us        75.32%      10.126ms     506.310us       0.000us         0.00%      24.831us       1.242us            20  
                                        cudaMemcpyAsync         2.96%     398.210us         2.96%     398.210us       6.637us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        73.72%       9.912ms        73.72%       9.912ms     495.593us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.44%     328.271us         2.44%     328.271us      16.414us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.28%      37.762us         2.31%     310.962us      15.548us       0.000us         0.00%     369.154us      18.458us            20  
                                    aten::empty_strided         0.61%      81.785us         0.61%      81.785us       4.089us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.85%     517.770us         3.85%     517.770us     258.885us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.445ms
Self CUDA time total: 11.752ms
