-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     942.624us        41.31%     942.624us      11.783us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     538.045us        23.58%     538.045us       6.726us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     465.155us        20.38%     465.155us       5.814us            80  
                                            aten::copy_         3.94%     167.605us        10.94%     465.712us      11.643us     161.917us         7.10%     161.917us       4.048us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     161.917us         7.10%     161.917us       4.048us            40  
                                              aten::all         6.35%     270.319us        46.78%       1.991ms      99.555us      77.952us         3.42%      82.048us       4.102us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      77.952us         3.42%      77.952us       3.898us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      74.434us         3.26%      74.434us       3.722us            20  
                              aten::_local_scalar_dense         1.97%      84.051us        29.50%       1.256ms      62.790us      21.855us         0.96%      21.855us       1.093us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.855us         0.96%      21.855us       1.093us            20  
                                Activity Buffer Request        36.65%       1.560ms        36.65%       1.560ms       1.560ms       4.096us         0.18%       4.096us       4.096us             1  
                                       aten::as_strided         0.33%      14.158us         0.33%      14.158us       0.708us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.45%     146.648us         3.45%     146.648us       7.332us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.37%      15.872us        30.45%       1.296ms      64.793us       0.000us         0.00%      21.855us       1.093us            20  
                                             aten::item         0.57%      24.183us        30.07%       1.280ms      63.999us       0.000us         0.00%      21.855us       1.093us            20  
                                        cudaMemcpyAsync         9.51%     404.807us         9.51%     404.807us       6.747us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        25.02%       1.065ms        25.02%       1.065ms      53.252us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         7.49%     318.613us         7.49%     318.613us      15.931us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.96%      40.672us         7.89%     335.749us      16.787us       0.000us         0.00%      55.902us       2.795us            20  
                                    aten::empty_strided         2.06%      87.466us         2.06%      87.466us       4.373us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.33%      56.817us         1.33%      56.817us      28.408us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.256ms
Self CUDA time total: 2.282ms
