-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     646.398us        38.24%     646.398us       8.080us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     486.207us        28.77%     486.207us       6.078us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     266.623us        15.77%     266.623us       3.333us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     146.303us         8.66%     146.303us       7.315us            20  
                                            aten::copy_         3.67%     141.776us        10.36%     400.455us      10.011us      68.256us         4.04%      68.256us       1.706us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      68.256us         4.04%      68.256us       1.706us            40  
                                              aten::all         6.70%     258.954us        54.21%       2.096ms     104.808us      55.038us         3.26%      57.854us       2.893us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      55.038us         3.26%      55.038us       2.752us            20  
                              aten::_local_scalar_dense         1.86%      72.090us        22.35%     864.356us      43.218us      21.374us         1.26%      21.374us       1.069us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.374us         1.26%      21.374us       1.069us            20  
                                        cudaGraphLaunch         8.00%     309.464us         8.00%     309.464us      15.473us       3.072us         0.18%       3.072us       0.154us            20  
                                Activity Buffer Request        43.82%       1.695ms        43.82%       1.695ms       1.695ms       2.816us         0.17%       2.816us       2.816us             1  
                                       aten::as_strided         0.35%      13.364us         0.35%      13.364us       0.668us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.34%     129.211us         3.34%     129.211us       6.461us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.38%      14.721us        23.34%     902.609us      45.130us       0.000us         0.00%      21.374us       1.069us            20  
                                             aten::item         0.61%      23.532us        22.96%     887.888us      44.394us       0.000us         0.00%      21.374us       1.069us            20  
                                        cudaMemcpyAsync         9.31%     359.909us         9.31%     359.909us       5.998us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        17.87%     691.036us        17.87%     691.036us      34.552us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.99%      38.401us         7.82%     302.309us      15.115us       0.000us         0.00%      30.080us       1.504us            20  
                                    aten::empty_strided         2.09%      80.863us         2.09%      80.863us       4.043us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.01%      38.883us         1.01%      38.883us      19.441us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.867ms
Self CUDA time total: 1.690ms
