-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     534.588us        41.00%     534.588us       6.682us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     316.128us        24.25%     316.128us       3.952us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     202.879us        15.56%     202.879us       2.536us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     142.528us        10.93%     142.528us       7.126us            20  
                                              aten::all         7.56%     250.082us        57.89%       1.915ms      95.738us      45.919us         3.52%      48.543us       2.427us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      45.919us         3.52%      45.919us       2.296us            20  
                                            aten::copy_         4.24%     140.265us        12.27%     405.759us      10.144us      42.337us         3.25%      42.337us       1.058us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      42.337us         3.25%      42.337us       1.058us            40  
                              aten::_local_scalar_dense         2.18%      71.997us        15.91%     526.047us      26.302us      19.360us         1.48%      19.360us       0.968us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      19.360us         1.48%      19.360us       0.968us            20  
                                Activity Buffer Request        46.00%       1.521ms        46.00%       1.521ms       1.521ms       2.624us         0.20%       2.624us       2.624us             1  
                                        cudaGraphLaunch         8.80%     290.996us         8.80%     290.996us      14.550us       1.920us         0.15%       1.920us       0.096us            20  
                                       aten::as_strided         0.39%      12.984us         0.39%      12.984us       0.649us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         3.94%     130.268us         3.94%     130.268us       6.513us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.46%      15.073us        17.05%     563.769us      28.188us       0.000us         0.00%      19.360us       0.968us            20  
                                             aten::item         0.68%      22.649us        16.59%     548.696us      27.435us       0.000us         0.00%      19.360us       0.968us            20  
                                        cudaMemcpyAsync        11.01%     364.283us        11.01%     364.283us       6.071us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        10.74%     355.261us        10.74%     355.261us      17.763us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         1.13%      37.306us         9.09%     300.777us      15.039us       0.000us         0.00%      20.961us       1.048us            20  
                                    aten::empty_strided         2.22%      73.380us         2.22%      73.380us       3.669us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         0.65%      21.370us         0.65%      21.370us      10.685us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.307ms
Self CUDA time total: 1.304ms
