-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us      45.735ms        46.67%      45.735ms     571.693us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us      24.054ms        24.55%      24.054ms     300.680us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us      21.117ms        21.55%      21.117ms     263.962us            80  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us       3.436ms         3.51%       3.436ms     171.784us            20  
                                            aten::copy_         0.12%     123.413us         0.32%     320.775us      16.039us       3.354ms         3.42%       3.354ms     167.725us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.354ms         3.42%       3.354ms     167.725us            20  
                                              aten::all         0.30%     297.858us         2.20%       2.198ms     109.901us     278.722us         0.28%     292.003us      14.600us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     278.722us         0.28%     278.722us      13.936us            20  
                                        cudaGraphLaunch         0.36%     355.922us         0.36%     355.922us      17.796us      27.808us         0.03%      27.808us       1.390us            20  
                              aten::_local_scalar_dense         0.11%     111.611us        92.23%      92.205ms       4.610ms      24.354us         0.02%      24.354us       1.218us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.354us         0.02%      24.354us       1.218us            20  
                                Activity Buffer Request         1.72%       1.719ms         1.72%       1.719ms       1.719ms      13.281us         0.01%      13.281us      13.281us             1  
                                       aten::as_strided         0.02%      16.953us         0.02%      16.953us       0.848us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.16%     164.209us         0.16%     164.209us       8.210us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.02%      21.039us        92.29%      92.260ms       4.613ms       0.000us         0.00%      24.354us       1.218us            20  
                                             aten::item         0.03%      34.778us        92.27%      92.239ms       4.612ms       0.000us         0.00%      24.354us       1.218us            20  
                                        cudaMemcpyAsync         0.34%     340.522us         0.34%     340.522us       8.513us       0.000us         0.00%       0.000us       0.000us            40  
                                  cudaStreamSynchronize        91.98%      91.950ms        91.98%      91.950ms       4.597ms       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         4.83%       4.833ms         4.83%       4.833ms       2.417ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 99.969ms
Self CUDA time total: 98.000ms
