-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       1.268ms        41.22%       1.268ms      15.847us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       1.223ms        39.77%       1.223ms      15.290us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     402.626us        13.09%     402.626us       5.033us            80  
                                              aten::all         5.23%     268.394us        41.80%       2.144ms     107.203us      79.105us         2.57%      82.689us       4.134us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      79.105us         2.57%      79.105us       3.955us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      78.623us         2.56%      78.623us       3.931us            20  
                              aten::_local_scalar_dense         1.42%      72.799us        49.74%       2.551ms     127.551us      24.160us         0.79%      24.160us       1.208us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.160us         0.79%      24.160us       1.208us            20  
                                        cudaGraphLaunch         5.36%     274.892us         5.36%     274.892us      13.745us       5.120us         0.17%       5.120us       0.256us            20  
                                Activity Buffer Request        33.52%       1.719ms        33.52%       1.719ms       1.719ms       3.584us         0.12%       3.584us       3.584us             1  
                                       aten::as_strided         0.28%      14.166us         0.28%      14.166us       0.708us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.77%     142.291us         2.77%     142.291us       7.115us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.31%      15.760us        50.43%       2.586ms     129.321us       0.000us         0.00%      24.160us       1.208us            20  
                                             aten::item         0.38%      19.636us        50.12%       2.571ms     128.533us       0.000us         0.00%      24.160us       1.208us            20  
                                        cudaMemcpyAsync         2.05%     105.329us         2.05%     105.329us       5.266us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaStreamSynchronize        46.27%       2.373ms        46.27%       2.373ms     118.644us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         2.41%     123.453us         2.41%     123.453us      61.727us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.129ms
Self CUDA time total: 3.075ms
