-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us       3.947ms        30.65%       3.947ms      49.342us            80  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us       3.940ms        30.59%       3.940ms      49.250us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us       3.683ms        28.60%       3.683ms      46.035us            80  
                                            aten::copy_         1.03%     148.830us         2.90%     420.292us      10.507us     804.225us         6.24%     804.225us      20.106us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     804.225us         6.24%     804.225us      20.106us            40  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us     389.888us         3.03%     389.888us      19.494us            20  
                                              aten::all         1.80%     261.052us        13.01%       1.883ms      94.155us      91.389us         0.71%      95.485us       4.774us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      91.389us         0.71%      91.389us       4.569us            20  
                              aten::_local_scalar_dense         0.58%      84.182us        76.73%      11.103ms     555.155us      22.464us         0.17%      22.464us       1.123us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.464us         0.17%      22.464us       1.123us            20  
                                Activity Buffer Request        10.14%       1.468ms        10.14%       1.468ms       1.468ms       4.096us         0.03%       4.096us       4.096us             1  
                                       aten::as_strided         0.10%      15.150us         0.10%      15.150us       0.757us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.96%     139.112us         0.96%     139.112us       6.956us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.11%      16.020us        77.05%      11.150ms     557.507us       0.000us         0.00%      22.464us       1.123us            20  
                                             aten::item         0.21%      31.026us        76.94%      11.134ms     556.706us       0.000us         0.00%      22.464us       1.123us            20  
                                        cudaMemcpyAsync         2.59%     375.269us         2.59%     375.269us       6.254us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        75.43%      10.915ms        75.43%      10.915ms     545.756us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         2.06%     298.306us         2.06%     298.306us      14.915us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.43%      62.579us         2.26%     326.368us      16.318us       0.000us         0.00%     370.271us      18.514us            20  
                                    aten::empty_strided         0.57%      81.855us         0.57%      81.855us       4.093us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         3.97%     574.608us         3.97%     574.608us     287.304us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.471ms
Self CUDA time total: 12.878ms
