-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _sub_attn_heads         0.00%       0.000us         0.00%       0.000us       0.000us     956.575us        40.48%     956.575us      11.957us            80  
                                          _sub_norm_qkv         0.00%       0.000us         0.00%       0.000us       0.000us     609.439us        25.79%     609.439us       7.618us            80  
                                   _sub_attn_block_tail         0.00%       0.000us         0.00%       0.000us       0.000us     469.503us        19.87%     469.503us       5.869us            80  
                                            aten::copy_         3.16%     140.535us         8.95%     397.573us       9.939us     153.985us         6.52%     153.985us       3.850us            40  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     153.985us         6.52%     153.985us       3.850us            40  
                                              aten::all         5.75%     255.585us        47.32%       2.102ms     105.080us      78.591us         3.33%      82.623us       4.131us            20  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      78.591us         3.33%      78.591us       3.930us            20  
                                        _sub_final_norm         0.00%       0.000us         0.00%       0.000us       0.000us      72.928us         3.09%      72.928us       3.646us            20  
                              aten::_local_scalar_dense         1.64%      72.648us        32.32%       1.436ms      71.778us      21.889us         0.93%      21.889us       1.094us            20  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      21.889us         0.93%      21.889us       1.094us            20  
                                Activity Buffer Request        38.35%       1.704ms        38.35%       1.704ms       1.704ms       4.032us         0.17%       4.032us       4.032us             1  
                                       aten::as_strided         0.29%      12.685us         0.29%      12.685us       0.634us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         2.92%     129.836us         2.92%     129.836us       6.492us       0.000us         0.00%       0.000us       0.000us            20  
                                       aten::is_nonzero         0.34%      14.942us        33.18%       1.474ms      73.680us       0.000us         0.00%      21.889us       1.094us            20  
                                             aten::item         0.52%      23.101us        32.84%       1.459ms      72.933us       0.000us         0.00%      21.889us       1.094us            20  
                                        cudaMemcpyAsync         8.08%     358.901us         8.08%     358.901us       5.982us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamSynchronize        28.39%       1.261ms        28.39%       1.261ms      63.052us       0.000us         0.00%       0.000us       0.000us            20  
                                        cudaGraphLaunch         6.46%     286.741us         6.46%     286.741us      14.337us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::clone         0.84%      37.107us         6.55%     291.018us      14.551us       0.000us         0.00%      52.864us       2.643us            20  
                                    aten::empty_strided         1.78%      79.009us         1.78%      79.009us       3.950us       0.000us         0.00%       0.000us       0.000us            20  
                                  cudaDeviceSynchronize         1.48%      65.845us         1.48%      65.845us      32.922us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.441ms
Self CUDA time total: 2.363ms
